Date/Time,Unit,Value,
9/5/2020, 2:45:01 PM,F,146.43
9/5/2020, 3:45:01 PM,F,145.533
9/5/2020, 4:45:01 PM,F,128.485
9/5/2020, 5:45:01 PM,F,106.929
9/5/2020, 6:45:01 PM,F,94.343
9/5/2020, 7:45:01 PM,F,85.348
9/5/2020, 8:45:01 PM,F,80.849
9/5/2020, 9:45:01 PM,F,79.05
9/5/2020, 10:45:01 PM,F,77.25
9/5/2020, 11:45:01 PM,F,75.449
9/6/2020, 12:45:01 AM,F,73.649
9/6/2020, 1:45:01 AM,F,72.749
9/6/2020, 2:45:01 AM,F,71.849
9/6/2020, 3:45:01 AM,F,70.048
9/6/2020, 4:45:01 AM,F,71.849
9/6/2020, 5:45:01 AM,F,70.948
9/6/2020, 6:45:01 AM,F,73.649
9/6/2020, 7:45:01 AM,F,90.746
9/6/2020, 8:45:01 AM,F,113.218
9/6/2020, 9:45:01 AM,F,132.973
9/6/2020, 10:45:01 AM,F,146.43
9/6/2020, 11:45:01 AM,F,156.293
9/6/2020, 12:45:01 PM,F,155.397
9/6/2020, 1:45:01 PM,F,151.81
9/6/2020, 2:45:01 PM,F,150.914
9/6/2020, 3:45:01 PM,F,144.636
9/6/2020, 4:45:01 PM,F,132.075
9/6/2020, 5:45:01 PM,F,111.421
9/6/2020, 6:45:01 PM,F,100.637
9/6/2020, 7:45:01 PM,F,88.047
9/6/2020, 8:45:01 PM,F,81.749
9/6/2020, 9:45:01 PM,F,83.549
9/6/2020, 10:45:01 PM,F,80.849
9/6/2020, 11:45:01 PM,F,83.549
9/7/2020, 12:45:01 AM,F,83.549
9/7/2020, 1:45:01 AM,F,80.849
9/7/2020, 2:45:01 AM,F,78.15
9/7/2020, 3:45:01 AM,F,72.749
9/7/2020, 4:45:01 AM,F,70.048
9/7/2020, 5:45:01 AM,F,70.048
9/7/2020, 6:45:01 AM,F,69.147
9/7/2020, 7:45:01 AM,F,80.849
9/7/2020, 8:45:01 AM,F,97.041
9/7/2020, 9:45:01 AM,F,122.2
9/7/2020, 10:45:01 AM,F,134.768
9/7/2020, 11:45:01 AM,F,140.151
9/7/2020, 12:45:01 PM,F,132.075
9/7/2020, 1:45:01 PM,F,132.075
9/7/2020, 2:45:01 PM,F,118.608
9/7/2020, 3:45:01 PM,F,117.71
9/7/2020, 4:45:01 PM,F,106.03
9/7/2020, 5:45:01 PM,F,93.444
9/7/2020, 6:45:01 PM,F,84.449
9/7/2020, 7:45:01 PM,F,76.35
9/7/2020, 8:45:01 PM,F,72.749
9/7/2020, 9:45:01 PM,F,70.048
9/7/2020, 10:45:01 PM,F,69.147
9/7/2020, 11:45:01 PM,F,67.347
9/8/2020, 12:45:01 AM,F,66.446
9/8/2020, 1:45:01 AM,F,65.545
9/8/2020, 2:45:01 AM,F,61.943
9/8/2020, 3:45:01 AM,F,68.247
