ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
1,ENCA,35.2,38.1,11.7,0.8,27-Oct,MOSTLY DEAD
2,CEOL,35.1,8.4,7.9,0.5,27-Oct,
3,ENCA,17.4,36.9,18.1,1,27-Oct,
4,ENCA,28.6,30.8,13.9,1.6,27-Oct,
5,CEOL,38.4,20.8,16.9,0.9,27-Oct,
6,,,,,,,
7,SAME,38.9,18.9,17.1,0.4,27-Oct,
8,,,,,,,
9,,,,,,,
10,RHOV,20.1,10.4,9.1,0.5,27-Oct,
11,,,,,,,
12,,,,,,,
13,HEWH,12.2,43.1,19.4,,27-Oct,
14,HEWH,,,,,27-Oct,DAG
15,CEOL,,,,,27-Oct,DAG
16,,,,,,,
17,SAAP,,,,,27-Oct,DAG
18,SAME,,,,,27-Oct,DAG
19,ENCA,36.6,39.2,12,1,27-Oct,
20,,,,,,,
21,SAAP,14.6,7.9,5.2,1.2,27-Oct,
22,,,,,,,
23,ENCA,24.6,20.5,14.1,0.45,27-Oct,
24,HEWH,5.6,4.2,1.1,0.5,27-Oct,
25,,,,,,,
26,ENCA,74,53.6,14.3,0.7,27-Oct,
27,SAME,17.6,0.9,0.8,0.3,27-Oct,
28,,,,,,,
29,SANI,,,,,27-Oct,NP
30,,,,,,,
31,CEOL,,,,,27-Oct,NP
32,,,,,,,
33,,,,,,,
34,ADFA,,,,,27-Oct,NP
35,ADFA,5.2,39.6,24,0.3,27-Oct,
36,,,,,,,
37,MALA,,,,,27-Oct,NP
38,HEWH,28.2,28.2,24.9,,27-Oct,
39,,,,,,,
40,CEOL,,,,,27-Oct,NP
41,CEOL,26.6,"5,6",3.6,0.3,27-Oct,
42,HEWH,,,,,27-Oct,NP
43,ENCA,,,,,27-Oct,NP
44,ENCA,,,,,27-Oct,NP
45,ENCA,,,,,27-Oct,NP
46,,,,,,,
47,,,,,,,
48,RHOV,,,,,27-Oct,NP
49,HEWH,,,,,27-Oct,NP
50,,,,,,,
51,SAAP,18.8,30.8,16.1,0.9,27-Oct,
52,HEWH,,,,,27-Oct,NP
53,ADFA,34.6,79.9,57,0.7,27-Oct,
54,CEOL,36,5.4,4.2,0.2,27-Oct,DAG
55,,,,,,,
56,,,,,,,
57,ENCA,35.6,38.1,11.8,1,27-Oct,DAG
58,CEOL,,,,,3-Dec,MISSING
59,MALA,,,,,27-Oct,DAG
60,,,,,,,
61,ENCA,,,,,27-Oct,NP
62,,,,,,,
63,,,,,,,
64,SANI,13.2,27.1,27.8,0.9,27-Oct,
65,,,,,,,
66,,,,,,,
67,CEOL,,,,,27-Oct,NP
68,HEWH,,,,,27-Oct,NP
69,HEWH,26.5,35.2,35.5,,27-Oct,
70,,,,,,,
71,,,,,,,
72,MALA,,,,,27-Oct,DAG
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,HEWH,,,,,27-Oct,NP
77,RHOV,,,,,27-Oct,NP
78,ENCA,15.6,4,2,0.6,27-Oct,DAG
79,SAAP,6.1,19.1,11.6,0.4,27-Oct,DAG
80,MALA,25.2,13.7,7,0.3,27-Oct,DAG
81,SAAP,3.1,15,4.7,0.4,27-Oct,DAG
82,CEOL,30.3,13.3,4.3,0.3,27-Oct,DAG
83,SAAP,,,,,27-Oct,NP
84,RHOV,19.6,6.9,7.6,0.4,27-Oct,DAG
85,CEOL,28.6,6.7,4.1,0.1,27-Oct,DAG
86,CEOL,45.2,17.6,10.8,0.3,27-Oct,DAG
87,ENCA,,,,,27-Oct,DAG
88,SAAP,,,,,27-Oct,DAG
89,,,,,,,
90,ADFA,33.4,40.5,33,0.6,27-Oct,DAG
91,RHOV,38.6,45.4,16.8,1.2,27-Oct,
92,ENCA,,,,,27-Oct,NP
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,SAAP,18,11.4,9.6,0.3,27-Oct,DAG
98,,,,,,,
99,CEOL,,,,,27-Oct,NP
100,SAAP,,,,,27-Oct,NP
101,,,,,,,
102,,,,,,,
103,ENCA,39.9,43.3,28.4,11.4,27-Oct,
104,ADFA,30.1,43.2,31.6,0.5,27-Oct,
105,MALA,69.8,46.6,38.6,0.9,27-Oct,
106,RHOV,62.1,32.1,21.5,1.1,27-Oct,
107,MALA,,,,,27-Oct,DAG
108,,,,,,,
109,RHOV,14.1,10.1,8.9,0.6,27-Oct,
110,RHOV,32.7,18.9,15.4,0.9,27-Oct,
111,SAAP,,,,,27-Oct,DAG
112,HEWH,,,,,27-Oct,DAG
113,ADFA,28.4,56.8,43.6,0.4,27-Oct,
114,,,,,,,
115,CEOL,24.1,8,7.2,0.3,27-Oct,
116,,,,,,,
117,SAME,21.4,10.5,7.1,0.3,27-Oct,
118,SAAP,,,,,27-Oct,DAG
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,CEOL,,,,,27-Oct,DAG
123,,,,,,,
124,RHOV,,,,,27-Oct,DAG
125,CEOL,,,,,27-Oct,DAG
126,,,,,,,
127,CEOL,31.1,19.6,13.6,0.5,27-Oct,
