ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes
116,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
117,SAME (Orange + Pink),,,,6-May,y,,,,,,,
118,SAAP (White + Green),,,,6-May,y,,,,,,,
119,HEWH (White),11-Feb,Y,,6-May,n,,,,,,,
120,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
121,SAME (Orange + Pink),,,,6-May,y,,,,,,,
122,CEOL (Orange),,,,6-May,y,,,,,,,
123,SAME (Orange + Pink),,,,6-May,n,,,,,,,
124,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
125,CEOL (Orange),11-Feb,Y,,6-May,n,,,,,,,
126,SANI (Orange + Yellow),,,,6-May,n,,,,,,,
127,CEOL (Orange),11-Feb,N,"no plant, gopher",6-May,y,,,,,,,
128,ENCA (Pink),11-Feb,Y,sad,6-May,n,,,,,,,
129,ENCA (Pink),11-Feb,Y,sad,6-May,y,,,,,,,
130,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
131,MALA (White + Yellow),,,,6-May,y,,,,,,,
132,RHOV (White + Pink),11-Feb,Y,,6-May,y,MAFA volunteer in plot,,,,,,
133,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
134,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
135,SAAP (White + Green),,,,6-May,y,,,,,,,
136,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
137,SAAP (White + Green),,,,6-May,y,,,,,,,
138,ADFA (Orange + Green),11-Feb,Y,sad,6-May,n,,,,,,,
139,ADFA (Orange + Green),11-Feb,Y,sad,6-May,y,,,,,,,
140,SANI (Orange + Yellow),,,,6-May,y,,,,,,,
141,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
142,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
143,ENCA (Pink),11-Feb,Y,,6-May,n,,,,,,,
144,HEWH (White),11-Feb,Y,,6-May,n,,,,,,,
145,CEOL (Orange),,,,6-May,n,,,,,,,
146,CEOL (Orange),,,,6-May,n,gopher,,,,,,
147,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
148,MALA (White + Yellow),,,,6-May,n,,,,,,,
149,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
150,MALA (White + Yellow),,,,6-May,n,,,,,,,
151,ENCA (Pink),11-Feb,Y,,6-May,n,,,,,,,
152,CEOL (Orange),11-Feb,Y,,6-May,y,,,,,,,
153,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
154,SANI (Orange + Yellow),,,,6-May,n,gopher,,,,,,
155,SAAP (White + Green),,,,6-May,y,,,,,,,
156,HEAR,,,,6-May,y,,,,,,,
157,CEOL (Orange),,,,6-May,n,,,,,,,
158,SAAP (White + Green),,,,6-May,n,,,,,,,
159,ENCA (Pink),11-Feb,Y,,6-May,n,,,,,,,
160,HEWH (White),,,,6-May,y,,,,,,,
161,MALA (White + Yellow),,,,6-May,y,,,,,,,
162,HEWH (White),,,,6-May,y,,,,,,,
163,ADFA (Orange + Green),11-Feb,Y,,6-May,y,,,,,,,
164,HEWH (White),11-Feb,N,,6-May,y,,,,,,,
165,SANI (Orange + Yellow),,,,6-May,y,,,,,,,
166,SAME (Orange + Pink),,,,6-May,y,,,,,,,
167,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
168,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
169,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
170,CEOL (Orange),,,,6-May,y,,,,,,,
171,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
172,HEWH (White),11-Feb,N,gopher,7-May,np,,,,,,,
173,SAME (Orange + Pink),,,,7-May,np,,,,,,,
174,ADFA (Orange + Green),11-Feb,Y,,6-May,y,,,,,,,
175,HEWH (White),11-Feb,Y,was buried,7-May,n,,,,,,,
176,HEWH (White),13-Feb,N,,7-May,y,,,,,,,
177,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
178,CEOL (Orange),11-Feb,Y,,7-May,y,,,,,,,
179,SANI (Orange + Yellow),,,,7-May,np,,,,,,,
180,RHOV (White + Pink),11-Feb,Y,erosion,6-May,y,,,,,,,
181,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
182,HEWH (White),13-Feb,Y,,7-May,y,,,,,,,
183,ADFA (Orange + Green),11-Feb,Y,,6-May,y,,,,,,,
184,RHOV (White + Pink),11-Feb,Y,,7-May,y,,,,,,,
185,ENCA (Pink),11-Feb,Y,"crossed out ENCA, made it RHOV",7-May,y,,,,,,,
186,HEWH (White),11-Feb,Y,,7-May,np,,,,,,,
187,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
188,HEWH (White),13-Feb,Y,,7-May,y,,,,,,,
189,CEOL (Orange),13-Feb,Y,,7-May,np,,,,,,,
190,CEOL (Orange),13-Feb,Y,,7-May,y,,,,,,,
191,ADFA (Orange + Green),13-Feb,Y,,7-May,n,,,,,,,
192,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
193,ENCA (Pink),13-Feb,Y,,7-May,np,,,,,,,
194,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
195,HEWH (White),13-Feb,Y,,7-May,y,,,,,,,
196,HEWH (White),13-Feb,Y,,7-May,np,,,,,,,
197,HEWH (White),13-Feb,Y,,7-May,np,buried,,,,,,
198,ENCA (Pink),13-Feb,N,,7-May,np,,,,,,,
199,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
200,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
201,SAAP (White + Green),,,,7-May,y,,,,,,,
202,ENCA (Pink),11-Feb,Y,wilted,8-May,n,,,,,,,
203,ADFA (Orange + Green),11-Feb,Y,,8-May,y,,,,,,,
204,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
205,CEOL (Orange),11-Feb,Y,,7-May,y,,,,,,,
206,SAAP (White + Green),,,,7-May,y,,,,,,,
207,ENCA (Pink),11-Feb,Y,,7-May,np,,,,,,,
208,SAAP (White + Green),,,,7-May,y,,,,,,,
209,HEWH (White),13-Feb,Y,,8-May,y,,,,,,,
210,ADFA (Orange + Green),11-Feb,Y,,7-May,y,,,,,,,
211,HEWH (White),13-Feb,Y,,8-May,y,,,,,,,
212,CEOL (Orange),11-Feb,Y,,8-May,n,,,,,,,
213,SANI (Orange + Yellow),,,,8-May,np,,,,,,,
214,RHOV (White + Pink),11-Feb,Y,,8-May,np,,,,,,,
215,CEOL (Orange),11-Feb,Y,,8-May,y,,,,,,,
216,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
217,CEOL (Orange),11-Feb,Y,,7-May,np,,,,,,,
218,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
219,RHOV (White + Pink),11-Feb,N,"no plant, gopher",7-May,y,,,,,,,
220,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
221,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
222,SAAP (White + Green),,,,8-May,n,,,,,,,
223,SAME (Orange + Pink),,,,8-May,n,,,,,,,
224,CEOL (Orange),11-Feb,Y,,8-May,np,,,,,,,
225,HEWH (White),13-Feb,Y,,7-May,y,gopher,,,,,,
226,ENCA (Pink),11-Feb,N,no plant,8-May,np,,,,,,,
227,SAAP (White + Green),,,,7-May,y,,,,,,,
228,CEOL (Orange),11-Feb,Y,,7-May,y,,,,,,,
229,SAME (Orange + Pink),,,,8-May,y,,,,,,,
230,ADFA (Orange + Green),13-Feb,Y,,7-May,n,,,,,,,
231,SAME (Orange + Pink),,,,8-May,np,,,,,,,
232,RHOV (White + Pink),11-Feb,N,no plant,8-May,np,,,,,,,
233,HEAR,,,,8-May,y,,,,,,,
234,MALA (White + Yellow),,,,7-May,np,,,,,,,
235,SAME (Orange + Pink),,,,7-May,y,,,,,,,
236,HEWH (White),11-Feb,Y,wilted/strugglin,7-May,y,,,,,,,
237,CEOL (Orange),11-Feb,Y,,7-May,y,,,,,,,
238,MALA (White + Yellow),,Y,,7-May,np,,,,,,,
239,HEWH (White),13-Feb,Y,wilted/strugglin,7-May,np,,,,,,,
240,ENCA (Pink),11-Feb,N,no leaves,8-May,y,,,,,,,
241,RHOV (White + Pink),13-Feb,Y,,7-May,y,,,,,,,
242,RHOV (White + Pink),,,,7-May,y,,,,,,,
243,RHOV (White + Pink),,,,7-May,y,,,,,,,
244,RHOV (White + Pink),,,,7-May,y,,,,,,,
245,CEOL (Orange),,,,8-May,y,,,,,,,
246,HEWH (White),,,,8-May,y,,,,,,,
247,CEOL (Orange),,,,8-May,np,,,,,,,
248,SAME (Orange + Pink),,,,7-May,np,,,,,,,
249,MALA (White + Yellow),,,,7-May,y,,,,,,,
250,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
251,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
252,CEOL (Orange),11-Feb,Y,,7-May,y,,,,,,,
253,RHOV (White + Pink),,,,7-May,np,,,,,,,
254,SAME (Orange + Pink),,,,7-May,y,,,,,,,
255,HEWH (White),,,,8-May,y,,,,,,,
256,SAME (Orange + Pink),,,,7-May,y,,,,,,,
257,ADFA (Orange + Green),,,,7-May,y,,,,,,,
258,ENCA (Pink),,,,7-May,y,,,,,,,
259,HEWH (White),,,,7-May,y,,,,,,,
260,ADFA (Orange + Green),,,,7-May,y,,,,,,,
261,CEOL (Orange),,,,7-May,y,,,,,,,
262,HEWH (White),,,,7-May,y,,,,,,,
263,SAME (Orange + Pink),,,,7-May,y,,,,,,,
264,CEOL (Orange),,,,7-May,y,,,,,,,
265,ENCA (Pink),,,,7-May,y,,,,,,,
266,HEWH (White),,,,8-May,y,,,,,,,
267,SAAP (White + Green),,,,7-May,y,,,,,,,
268,CEOL (Orange),,,,7-May,n,,,,,,,
269,HEWH (White),,,,7-May,y,,,,,,,
270,HEWH (White),,,,7-May,y,,,,,,,
271,CEOL (Orange),,,,7-May,y,,,,,,,
272,RHOV (White + Pink),,,,7-May,np,,,,,,,
273,SAAP (White + Green),,,,7-May,y,,,,,,,
274,SAAP (White + Green),,,,7-May,y,,,,,,,
275,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
276,CEOL (Orange),,,,7-May,y,,,,,,,
277,ENCA (Pink),,,,7-May,y,,,,,,,
278,ENCA (Pink),,,,7-May,y,,,,,,,
279,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
280,RHOV (White + Pink),11-Feb,Y,"mostly buried, gopher activity",7-May,y,,,,,,,
