"(Intercept)","height","les_1","les_2","soil_moisture","temperature","vpd","wood_density","wue","height:les_1","height:les_2","height:wood_density","height:wue","les_1:soil_moisture","les_1:temperature","les_1:vpd","les_2:soil_moisture","les_2:temperature","les_2:vpd","soil_moisture:temperature","soil_moisture:vpd","soil_moisture:wood_density","soil_moisture:wue","temperature:vpd","temperature:wood_density","temperature:wue","vpd:wood_density","vpd:wue","df","logLik","AICc","delta","weight"
"+",-0.291640193630565,0.129065455274088,NA,-0.287404026122454,-0.0687567966729957,0.363568162792538,0.117056874275693,-0.0995087120978586,0.369116214590059,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.249333238882589,NA,NA,0.111693121517395,NA,NA,NA,0.226824582154266,NA,11,-3097.10280872506,6216.73361745013,0.937293978541675,0.000338531829538649
"+",-0.293020744138996,0.122719965602032,NA,-0.279761200231015,-0.0621475649030523,0.336073300312179,0.130557364033304,-0.130549118321073,0.375600789671252,NA,NA,NA,NA,-0.109413094238947,NA,NA,NA,NA,-0.237709334439668,NA,NA,NA,NA,NA,NA,NA,0.20406207689441,11,-3097.32086394651,6217.16972789301,1.37340442142886,0.000272207024866043
"+",-0.299232971947609,0.133619437818278,NA,-0.316704328745405,-0.0631987149652245,0.283346011890884,0.131533425123136,-0.102057090889381,0.366264917778649,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212230292803091,-0.244126405511618,NA,0.119013944087582,NA,NA,NA,NA,NA,11,-3097.52464432853,6217.57728865707,1.78096518548409,0.000222023340913126
"+",-0.299439595310222,0.127140141843367,NA,-0.282047443090644,-0.0585200981779392,0.351403149001168,0.129309812345137,-0.107171775867116,0.37270707387407,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.244186996549365,NA,NA,0.104720038449251,NA,NA,NA,NA,0.149364262034551,11,-3097.6020705424,6217.73214108479,1.93581761321002,0.000205481560859095
