"","date","plot","soil_moisture"
"1",2020-05-01,1124,38.2666666666667
"2",2020-05-01,1130,41.5916666666667
"3",2020-05-01,1131,43.8833333333333
"4",2020-05-01,1132,32.2416666666667
"5",2020-05-01,1647,30.4416666666667
"6",2020-05-02,1124,38.2208333333333
"7",2020-05-02,1130,41.55
"8",2020-05-02,1131,44.2958333333333
"9",2020-05-02,1132,30.1958333333333
"10",2020-05-02,1647,30.0666666666667
"11",2020-05-03,1124,38.0958333333333
"12",2020-05-03,1130,41.375
"13",2020-05-03,1131,43.5791666666667
"14",2020-05-03,1132,29.7583333333333
"15",2020-05-03,1647,29.9166666666667
"16",2020-05-04,1124,38.0458333333333
"17",2020-05-04,1130,40.9291666666667
"18",2020-05-04,1131,43.3
"19",2020-05-04,1132,29.3208333333333
"20",2020-05-04,1647,29.8083333333333
"21",2020-05-05,1124,38.0708333333333
"22",2020-05-05,1130,40.375
"23",2020-05-05,1131,43.0041666666667
"24",2020-05-05,1132,28.9083333333333
"25",2020-05-05,1647,29.7583333333333
"26",2020-05-06,1124,38.0833333333333
"27",2020-05-06,1130,39.9208333333333
"28",2020-05-06,1131,42.725
"29",2020-05-06,1132,28.6291666666667
"30",2020-05-06,1647,29.7541666666667
"31",2020-05-07,1124,38.1541666666667
"32",2020-05-07,1130,39.4375
"33",2020-05-07,1131,42.7083333333333
"34",2020-05-07,1132,28.2083333333333
"35",2020-05-07,1647,29.6583333333333
"36",2020-05-08,1124,37.9166666666667
"37",2020-05-08,1130,38.9416666666667
"38",2020-05-08,1131,42.8375
"39",2020-05-08,1132,27.8875
"40",2020-05-09,1124,37.6791666666667
"41",2020-05-09,1130,38.1375
"42",2020-05-09,1131,42.65
"43",2020-05-09,1132,27.5916666666667
"44",2020-05-10,1124,37.5791666666667
"45",2020-05-10,1130,37.325
"46",2020-05-10,1131,42.125
"47",2020-05-10,1132,27.3583333333333
"48",2020-05-11,1124,37.6041666666667
"49",2020-05-11,1130,36.7583333333333
"50",2020-05-11,1131,41.9083333333333
"51",2020-05-11,1132,27.2291666666667
"52",2020-05-12,1124,37.5125
"53",2020-05-12,1130,36.5333333333333
"54",2020-05-12,1131,41.3125
"55",2020-05-12,1132,27.025
"56",2020-05-13,1124,37.45
"57",2020-05-13,1130,36.0791666666667
"58",2020-05-13,1131,40.7458333333333
"59",2020-05-13,1132,26.9333333333333
"60",2020-05-14,1124,37.4708333333333
"61",2020-05-14,1130,35.8583333333333
