"species","sla","ldmc","leaf_thickness","percent_n","percent_c","c_n","wue","wood_density"
"ADFA",9799.52677494457,0.332596569714338,0.00043782808762184,1.50666642175,49.055457275,33.1366203475,19.9330790350318,0.75305
"CEOL",12373.4113453213,0.40309183077654,0.000206156274529164,2.423373939,47.730786184,19.943079438,20.7781537876148,0.612916666666667
"ENCA",13994.1056244032,0.21097895994854,0.000343091017657747,2.317714768,37.47157798,16.16746741,23.5262267675193,0.522010123333333
"HEAR",4534.60411061191,0.524327096742094,0.000431837896346171,1.33113811325,50.4335317975,38.3587663575,19.330032538918,0.62
"HEWH",3481.76370967742,0.375757575757576,0.000764351215214202,0.866850814,46.499955624,54.880137568,18.343156961974,NA
"MALA",4469.90712329713,0.482173959657108,0.000466830994440536,0.90298581775,50.887335085,57.5545623275,23.272752582456,0.476799657
"RHOV",3223.00586355943,0.514255890114956,0.000607414899757806,1.02903579557143,50.6786433071429,50.3528459571429,18.28760979432,0.5248666666
"SAAP",7359.01757329384,0.32390483702991,0.000442309642882605,2.043619067,49.4010582325,24.4516825375,20.9060738047288,0.4078303425
"SAME",9039.65845627169,0.371885983986294,0.000299540885613647,1.537362468,46.9052742566667,31.307773675,20.7728710987863,0.555316049333333
"SANI",11966.2711581143,0.260796775912083,0.000336797012490691,3.52634182775,44.4559872875,12.94443867,21.7346356441978,0.340312955
