"plot_number","Plant","july_height","date_measured","dead.x","date_measured_2","dead.y","fall_height"
85,"CEOL",26.1,2020-06-05,0,2020-10-27,1,28.6
86,"CEOL",41.3,2020-06-05,0,2020-10-27,1,45.2
90,"ADFA",36.6,2020-06-05,0,2020-10-27,1,33.4
91,"RHOV",18.1,2020-06-05,0,2020-10-27,0,38.6
97,"SAAP",23.4,2020-06-05,0,2020-10-27,1,18
103,"ENCA",27.9,2020-06-05,0,2020-10-27,0,39.9
104,"ADFA",29.6,2020-06-05,0,2020-10-27,0,30.1
105,"MALA",42.7,2020-06-05,0,2020-10-27,0,69.8
106,"RHOV",27.4,2020-06-05,0,2020-10-27,0,62.1
109,"RHOV",14.3,2020-06-05,0,2020-10-27,0,14.1
110,"RHOV",15.3,2020-06-05,0,2020-10-27,0,32.7
113,"ADFA",23.1,2020-06-05,0,2020-10-27,0,28.4
115,"CEOL",29.5,2020-06-05,0,2020-10-27,0,24.1
117,"SAME",23.7,2020-06-05,0,2020-10-27,0,21.4
127,"CEOL",13.9,2020-06-05,0,2020-10-27,0,31.1
129,"ENCA",56.1,2020-06-05,0,2020-10-27,0,58.4
130,"RHOV",22.5,2020-06-05,0,2020-10-27,0,21.6
133,"HEWH",13.1,2020-06-05,0,2020-10-27,0,11
134,"ENCA",25.9,2020-06-05,0,2020-10-27,0,24.6
135,"SAAP",41.9,2020-06-05,0,2020-10-27,0,38.1
138,"ADFA",51.6,2020-06-05,0,2020-10-27,0,52.2
139,"ADFA",50.1,2020-06-05,0,2020-10-27,0,36.6
141,"HEWH",29.4,2020-06-05,0,2020-10-27,0,35.4
142,"RHOV",23.4,2020-06-05,0,2020-10-27,0,46.2
151,"ENCA",30.5,2020-06-05,0,2020-10-27,1,31.8
152,"CEOL",16.9,2020-06-05,0,2020-10-27,1,17.1
155,"SAAP",23.4,2020-06-05,0,2020-10-27,0,9.8
156,"HEAR",9.7,2020-06-05,0,2020-10-27,0,8.6
163,"ADFA",57.5,2020-06-05,0,2020-11-05,1,49.3
164,"HEWH",24.3,2020-06-05,0,2020-11-05,0,20.4
166,"SAME",35.6,2020-06-24,0,2020-10-27,1,24.3
167,"HEWH",27.7,2020-06-24,0,2020-10-27,1,22.2
168,"RHOV",19.6,2020-06-24,0,2020-10-27,0,45.6
171,"RHOV",18.2,2020-06-24,0,2020-10-27,0,15.1
174,"ADFA",53.6,2020-06-24,0,2020-11-05,0,56.7
177,"HEWH",29.6,2020-06-24,0,2020-10-27,0,33.6
182,"HEWH",30.3,2020-06-24,0,2020-11-05,0,36.1
185,"ENCA",33.5,2020-06-24,0,2020-10-27,1,24.6
187,"HEWH",21.1,2020-06-24,0,2020-10-27,0,29.6
188,"HEWH",7.3,2020-06-24,0,2020-10-27,0,4.9
200,"HEWH",9.9,2020-06-24,0,2020-10-27,0,16.7
205,"CEOL",27.3,2020-06-24,0,2020-10-27,1,39.7
206,"SAAP",14.3,2020-06-24,0,2020-11-05,0,23.6
210,"ADFA",41.4,2020-06-24,0,2020-10-27,1,40
215,"CEOL",26,2020-06-24,0,2020-10-27,0,23.6
218,"HEWH",26.1,2020-06-24,0,2020-10-27,0,25.6
227,"SAAP",16.2,2020-06-24,0,2020-11-05,0,14.5
228,"CEOL",37.5,2020-06-24,0,2020-11-05,1,37.1
242,"RHOV",12.2,2020-06-24,0,2020-11-05,0,23.9
244,"RHOV",15.9,2020-06-24,0,2020-11-05,0,31.9
246,"HEWH",28.2,2020-06-24,0,2020-11-05,0,31.1
250,"ENCA",29.4,2020-06-24,0,2020-11-05,1,42.4
251,"ENCA",61.1,2020-06-24,0,2020-11-05,0,62.1
252,"CEOL",39.9,2020-06-24,0,2020-11-05,0,52.1
256,"SAME",42.5,2020-06-24,0,2020-11-05,1,19.8
263,"SAME",20.5,2020-06-24,0,2020-11-05,1,22.7
282,"HEWH",30,2020-06-24,0,2020-11-05,0,30.1
284,"SANI",22.4,2020-06-24,0,2020-11-05,0,15.9
285,"ENCA",52.7,2020-06-24,0,2020-11-05,1,38.1
286,"HEWH",27.5,2020-06-24,0,2020-11-05,0,28.9
293,"SAME",40.9,2020-06-24,0,2020-11-05,1,33.4
297,"MALA",17.6,2020-06-24,0,2020-11-05,0,87.9
298,"SAME",26.6,2020-06-24,0,2020-11-05,0,23
299,"RHOV",19.8,2020-06-24,0,2020-11-05,0,14.5
314,"SANI",15.1,2020-06-24,0,2020-10-27,0,15.3
316,"HEWH",29.7,2020-06-24,0,2020-10-27,0,34
320,"ADFA",60,2020-06-24,0,2020-10-27,1,57
326,"ADFA",63.6,2020-06-24,0,2020-10-27,0,61.9
327,"ENCA",27.6,2020-06-24,0,2020-10-27,1,38
334,"CEOL",64.1,2020-06-24,0,2020-10-27,1,53.2
345,"ADFA",51.5,2020-06-25,0,2020-10-27,0,54.2
354,"SAME",55.6,2020-06-24,0,2020-10-27,1,60.6
368,"HEWH",24.9,2020-06-25,0,2020-10-27,0,24.3
377,"HEWH",22.5,2020-06-25,0,2020-10-27,0,26.4
385,"HEWH",27.9,2020-06-24,0,2020-10-27,0,21
386,"ADFA",42,2020-06-25,0,2020-10-27,1,26.1
393,"ENCA",61.2,2020-06-25,0,2020-10-27,0,61.2
394,"HEWH",37.4,2020-06-25,0,2020-10-27,0,43.1
