"plot_number","Plant","start_date","start_time","end_date","end_time","dead","height","gopher"
67,"CEOL",2020-01-25,0,2020-06-05,132,0,40.2,0
68,"HEWH",2020-01-18,0,2020-06-05,139,0,19,0
69,"HEWH",2020-01-18,0,2020-06-05,139,0,20,0
70,"HEWH",2020-01-18,0,2020-06-05,139,1,18,0
71,"SAME",2020-02-20,0,2020-06-05,106,0,12.25,1
72,"MALA",2020-02-14,0,2020-06-05,112,0,30,0
73,"CEOL",2020-01-25,0,2020-06-05,132,1,23.2,0
74,"HEWH",2020-01-21,0,2020-06-05,136,1,20.6,0
75,"RHOV",2020-01-21,0,2020-06-05,136,0,13.2,1
76,"HEWH",2020-01-18,0,2020-06-05,139,0,22.4,0
77,"RHOV",2020-01-18,0,2020-06-05,139,0,19,0
78,"ENCA",2020-01-18,0,2020-06-05,139,0,29.8,0
79,"SAAP",2020-02-13,0,2020-06-05,113,0,18.5,0
80,"MALA",2020-02-13,0,2020-06-05,113,0,36.5,0
81,"SAAP",2020-02-13,0,2020-06-05,113,0,19,0
82,"CEOL",2020-02-20,0,2020-06-05,106,0,19,0
83,"SAAP",2020-02-13,0,2020-06-05,113,0,27.5,0
84,"RHOV",2020-01-21,0,2020-06-05,136,0,10.4,0
85,"CEOL",2020-01-25,0,2020-06-05,132,0,19.5,0
86,"CEOL",2020-02-20,0,2020-06-05,106,0,23.75,0
87,"ENCA",2020-01-21,0,2020-06-05,136,0,19.1,0
88,"SAAP",2020-02-14,0,2020-06-05,112,0,25.75,0
89,"ENCA",2020-01-21,0,2020-06-05,136,1,35.4,0
90,"ADFA",2020-01-21,0,2020-06-05,136,0,41.8,0
91,"RHOV",2020-01-21,0,2020-06-05,136,0,11.3,0
92,"ENCA",2020-01-18,0,2020-06-05,139,0,18,0
93,"HEWH",2020-01-18,0,2020-06-05,139,1,17,0
94,"SAME",2020-02-20,0,2020-06-05,106,1,14.5,0
95,"HEWH",2020-01-21,0,2020-06-05,136,1,14.9,0
96,"SANI",2020-02-13,0,2020-06-05,113,1,25.25,0
97,"SAAP",2020-02-13,0,2020-06-05,113,0,19.25,0
98,"SANI",2020-02-13,0,2020-06-05,113,1,11,0
99,"CEOL",2020-01-25,0,2020-06-05,132,0,22.1,0
100,"SAAP",2020-02-14,0,2020-06-05,112,0,25.75,0
101,"ENCA",2020-01-17,0,2020-06-05,140,1,18,0
102,"SAME",2020-02-20,0,2020-06-05,106,1,8.5,0
103,"ENCA",2020-01-17,0,2020-06-05,140,0,23.6,0
104,"ADFA",2020-01-17,0,2020-06-05,140,0,58.7,0
105,"MALA",2020-02-13,0,2020-06-05,113,0,36.4,0
106,"RHOV",2020-01-17,0,2020-06-05,140,0,10.29,0
107,"MALA",2020-02-13,0,2020-06-05,113,0,33.8,0
108,"ENCA",2020-01-17,0,2020-06-05,140,1,17.6,0
109,"RHOV",2020-01-17,0,2020-06-05,140,0,12.88,0
110,"RHOV",2020-01-17,0,2020-06-05,140,0,11.5,0
111,"SAAP",2020-02-13,0,2020-06-05,113,0,19.3,0
112,"HEWH",2020-01-17,0,2020-06-05,140,0,29.5,0
113,"ADFA",2020-01-17,0,2020-06-05,140,0,38.5,0
114,"CEOL",2020-01-17,0,2020-06-05,140,1,16.203,0
115,"CEOL",2020-01-17,0,2020-06-05,140,0,30,0
116,"ENCA",2020-01-17,0,2020-06-05,140,1,29.5,0
117,"SAME",2020-02-20,0,2020-06-05,106,0,15.3,0
118,"SAAP",2020-02-13,0,2020-06-05,113,0,25.2,0
119,"HEWH",2020-01-17,0,2020-06-05,140,1,15.5,0
120,"ENCA",2020-01-17,0,2020-06-05,140,1,22,0
121,"SAME",2020-02-20,0,2020-06-05,106,1,8.3,0
122,"CEOL",2020-02-13,0,2020-06-05,113,0,30.6,0
123,"SAME",2020-02-20,0,2020-06-05,106,1,10.8,0
124,"RHOV",2020-01-17,0,2020-06-05,140,0,9.5,0
125,"CEOL",2020-01-17,0,2020-06-05,140,0,27.5,0
126,"SANI",2020-02-13,0,2020-06-05,113,1,9.1,0
127,"CEOL",2020-01-17,0,2020-06-05,140,0,14.88,0
128,"ENCA",2020-01-17,0,2020-06-05,140,1,27.5,0
129,"ENCA",2020-01-17,0,2020-06-05,140,0,49,0
130,"RHOV",2020-01-18,0,2020-06-05,139,0,14.6,0
131,"MALA",2020-02-13,0,2020-06-05,113,1,34.6,0
132,"RHOV",2020-01-17,0,2020-06-05,140,0,8.5,0
133,"HEWH",2020-01-17,0,2020-06-05,140,0,28.5,0
134,"ENCA",2020-01-17,0,2020-06-05,140,0,31,0
135,"SAAP",2020-02-13,0,2020-06-05,113,0,25.2,0
136,"ENCA",2020-01-18,0,2020-06-05,139,0,43.2,0
137,"SAAP",2020-02-13,0,2020-06-05,113,0,22.2,0
138,"ADFA",2020-01-21,0,2020-06-05,136,0,72,0
139,"ADFA",2020-01-21,0,2020-06-05,136,0,51,0
140,"SANI",2020-02-14,0,2020-06-05,112,0,14.6,0
141,"HEWH",2020-01-21,0,2020-06-05,136,0,23.5,0
142,"RHOV",2020-01-21,0,2020-06-05,136,0,16,0
143,"ENCA",2020-01-18,0,2020-06-05,139,1,25.6,0
144,"HEWH",2020-01-18,0,2020-06-05,139,1,28.9,0
145,"CEOL",2020-02-14,0,2020-06-05,112,1,21.5,0
146,"CEOL",2020-02-27,0,2020-06-05,99,0,15.9,1
147,"RHOV",2020-01-18,0,2020-06-05,139,0,9.7,0
148,"MALA",2020-02-13,0,2020-06-05,113,1,22.4,0
149,"ENCA",2020-01-18,0,2020-06-05,139,1,33.2,0
150,"MALA",2020-02-13,0,2020-06-05,113,1,33.5,0
151,"ENCA",2020-01-18,0,2020-06-05,139,0,32.5,0
152,"CEOL",2020-01-25,0,2020-06-05,132,0,25.8,0
153,"ENCA",2020-01-18,0,2020-06-05,139,1,25,0
154,"SANI",2020-02-14,0,2020-06-05,112,0,11.1,1
155,"SAAP",2020-02-14,0,2020-06-05,112,0,18.2,0
156,"HEAR",2020-02-27,0,2020-06-05,99,0,21.4,0
157,"CEOL",2020-03-27,0,2020-06-05,70,1,7,0
158,"SAAP",2020-02-14,0,2020-06-05,112,1,15.9,0
159,"ENCA",2020-03-19,0,2020-06-05,78,1,25.2,0
160,"HEWH",2020-02-20,0,2020-06-05,106,0,35.9,0
161,"MALA",2020-02-13,0,2020-06-05,113,1,44,0
162,"HEWH",2020-01-18,0,2020-06-24,158,0,11,0
163,"ADFA",2020-01-21,0,2020-06-05,136,0,70,0
164,"HEWH",2020-01-18,0,2020-06-05,139,0,20.1,0
165,"SANI",2020-02-13,0,2020-06-05,113,1,16.2,0
166,"SAME",2020-02-20,0,2020-06-24,125,0,12.8,0
167,"HEWH",2020-01-18,0,2020-06-24,158,0,29,0
168,"RHOV",2020-01-18,0,2020-06-24,158,0,13.5,0
169,"HEWH",2020-01-21,0,2020-06-24,155,0,25.5,0
171,"RHOV",2020-03-27,0,2020-06-24,89,0,11.7,0
172,"HEWH",2020-01-25,0,2020-06-24,151,1,13.8,0
173,"SAME",2020-02-20,0,2020-06-24,125,1,11.1,0
174,"ADFA",2020-02-04,0,2020-06-24,141,0,58.3,0
175,"HEWH",2020-01-25,0,2020-06-24,151,1,15.3,0
176,"HEWH",2020-01-25,0,2020-06-24,151,0,16.5,0
177,"HEWH",2020-01-21,0,2020-06-24,155,0,24,0
178,"CEOL",2020-01-25,0,2020-06-24,151,0,29.7,1
179,"SANI",2020-02-13,0,2020-06-24,132,1,13.1,0
180,"RHOV",2020-01-18,0,2020-06-24,158,0,8.3,1
181,"HEWH",2020-01-25,0,2020-06-24,151,0,14.3,0
182,"HEWH",2020-01-25,0,2020-06-24,151,0,16.7,0
183,"ADFA",2020-02-04,0,2020-06-24,141,1,46.1,0
184,"RHOV",2020-01-18,0,2020-06-24,158,0,14.1,1
185,"ENCA",2020-01-21,0,2020-06-24,155,0,28.5,0
186,"HEWH",2020-01-21,0,2020-06-24,155,1,17,0
187,"HEWH",2020-01-21,0,2020-06-24,155,0,16,0
188,"HEWH",2020-01-30,0,2020-06-24,146,0,28.6,0
189,"CEOL",2020-03-27,0,2020-06-24,89,1,17.2,0
190,"CEOL",2020-02-05,0,2020-06-24,140,0,31.6,0
191,"ADFA",2020-01-30,0,2020-06-24,146,1,56.2,0
192,"SANI",2020-02-13,0,2020-06-24,132,1,7.2,0
193,"ENCA",2020-01-30,0,2020-06-24,146,1,21.8,0
194,"SANI",2020-02-13,0,2020-06-24,132,0,11.6,0
195,"HEWH",2020-01-25,0,2020-06-24,151,1,15.9,0
196,"HEWH",2020-01-25,0,2020-06-24,151,1,14.1,0
197,"HEWH",2020-01-30,0,2020-06-24,146,0,12,1
198,"ENCA",2020-01-30,0,2020-06-24,146,1,24.3,0
199,"HEWH",2020-01-21,0,2020-06-24,155,0,12.5,0
200,"HEWH",2020-01-25,0,2020-06-24,151,0,13.6,0
