ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
97,SAAP (White + Green),23.4,16.8,14.3,0.51,5-Jun,
98,SANI (Orange + Yellow),,,,,5-Jun,np
99,CEOL (Orange),28.1,12.4,10.5,0.4,5-Jun,
100,SAAP (White + Green),8.4,31.5,13.6,0.55,5-Jun,
101,ENCA (Pink),,,,,5-Jun,np
102,SAME (Orange + Pink),,,,,5-Jun,np
103,ENCA (Pink),27.9,16.3,10.7,0.4,5-Jun,
104,ADFA (Orange + Green),29.6,57.6,39.6,0.7,5-Jun,
105,MALA (White + Yellow),42.7,14.9,14,0.42,5-Jun,
106,RHOV (White + Pink),27.4,14.6,9.9,0.45,5-Jun,
107,MALA (White + Yellow),9,20.4,5,0.22,5-Jun,
108,ENCA (Pink),,,,,5-Jun,np
109,RHOV (White + Pink),14.3,11.2,6.6,0.4,5-Jun,
110,RHOV (White + Pink),15.3,10.9,8.1,0.48,5-Jun,
111,SAAP (White + Green),25,15,14.8,0.9,5-Jun,
112,HEWH (White),28.5,32.6,11.8,,5-Jun,
113,ADFA (Orange + Green),23.1,64.4,54.9,0.55,5-Jun,
114,CEOL (Orange),,,,,5-Jun,dead
115,CEOL (Orange),29.5,10.9,6.7,0.3,5-Jun,
116,ENCA (Pink),,,,,5-Jun,np
117,SAME (Orange + Pink),23.7,12.5,11.1,0.4,5-Jun,
118,SAAP (White + Green),15.6,13.1,6.6,0.4,5-Jun,
119,HEWH (White),,,,,5-Jun,np
120,ENCA (Pink),,,,,5-Jun,np
121,SAME (Orange + Pink),,,,,5-Jun,np
122,CEOL (Orange),39.5,10.4,8.4,0.35,5-Jun,
123,SAME (Orange + Pink),,,,,5-Jun,np
124,RHOV (White + Pink),17,9.1,8.4,0.5,5-Jun,
125,CEOL (Orange),24.8,8,6.8,0.39,5-Jun,
126,SANI (Orange + Yellow),,,,,5-Jun,np
127,CEOL (Orange),13.9,8.9,5.2,0.25,5-Jun,
128,ENCA (Pink),,,,,5-Jun,np
129,ENCA (Pink),56.1,28.5,11.2,0.58,5-Jun,
130,RHOV (White + Pink),22.5,14.1,11.9,0.6,5-Jun,
131,MALA (White + Yellow),,,,,5-Jun,
132,RHOV (White + Pink),3.9,2.9,2,0.37,5-Jun,
133,HEWH (White),13.1,17.6,15.4,,5-Jun,
134,ENCA (Pink),25.9,11.1,5.4,0.49,5-Jun,
135,SAAP (White + Green),41.9,23.8,23.1,0.79,5-Jun,
136,ENCA (Pink),41.1,17.9,12.4,0.4,5-Jun,
137,SAAP (White + Green),24.1,16.1,14.6,0.5,5-Jun,
138,ADFA (Orange + Green),51.6,40.4,35.3,0.59,5-Jun,
139,ADFA (Orange + Green),50.1,43.3,35.4,0.62,5-Jun,
140,SANI (Orange + Yellow),5.9,3.5,2.4,0.5,5-Jun,
141,HEWH (White),29.4,30.6,17.1,,5-Jun,
142,RHOV (White + Pink),23.4,10.6,9.6,0.41,5-Jun,
143,ENCA (Pink),,,,,5-Jun,np
144,HEWH (White),,,,,5-Jun,np
145,CEOL (Orange),,,,,5-Jun,np
146,CEOL (Orange),,,,,5-Jun,"np, g"
147,RHOV (White + Pink),18.1,10.1,9.8,0.5,5-Jun,
148,MALA (White + Yellow),,,,,5-Jun,np
149,ENCA (Pink),,,,,5-Jun,dead
150,MALA (White + Yellow),,,,,5-Jun,np
151,ENCA (Pink),30.5,9.1,4.4,0.3,5-Jun,
152,CEOL (Orange),16.9,11.7,3.8,0.3,5-Jun,
153,ENCA (Pink),,,,,5-Jun,dead
154,SANI (Orange + Yellow),,,,,5-Jun,"np, g"
155,SAAP (White + Green),23.4,21.6,13.9,0.45,5-Jun,
156,HEAR,9.7,15,11.3,0.45,5-Jun,
157,CEOL (Orange),,,,,5-Jun,np
158,SAAP (White + Green),,,,,5-Jun,np
159,ENCA (Pink),,,,,5-Jun,np
160,HEWH (White),24.6,50.8,31.6,,5-Jun,
161,MALA (White + Yellow),,,,,5-Jun,np
162,HEWH (White),21.5,12.5,10.4,,24-Jun,
163,ADFA (Orange + Green),57.5,75.6,52.9,0.8,5-Jun,
164,HEWH (White),24.3,17.6,8.9,,5-Jun,
