ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
471,RHOV (White + Pink),14.2,11.7,10.1,0.6,24-Jun,
472,ENCA (Pink),,,,,24-Jun,dead
473,RHOV (White + Pink),,,,,24-Jun,np
474,CEOL (Orange),,,,,24-Jun,np
475,HEWH (White),,,,,25-Jun,"np, g"
476,ENCA (Pink),,,,,25-Jun,"np, g"
477,SAME (Orange + Pink),,,,,25-Jun,"np, g"
478,CEOL (Orange),,,,,25-Jun,dead
479,SAAP (White + Green),,,,,25-Jun,np
480,RHOV (White + Pink),32.4,15.4,11.3,0.7,24-Jun,
481,SANI (Orange + Yellow),27.1,10.6,10.4,0.9,24-Jun,
482,RHOV (White + Pink),,,,,24-Jun,np
483,CEOL (Orange),,,,,24-Jun,np
484,SAME (Orange + Pink),,,,,24-Jun,dead
485,HEWH (White),,,,,24-Jun,np
486,ENCA (Pink),33.4,10.4,6.9,0.3,24-Jun,
487,HEWH (White),22.5,55,26.8,,24-Jun,
488,ADFA (Orange + Green),,,,,24-Jun,dead
489,SAAP (White + Green),4.9,13.6,3.7,0.2,24-Jun,
490,SAAP (White + Green),,,,,24-Jun,dead
491,MALA (White + Yellow),,,,,24-Jun,dead
492,CEOL (Orange),,,,,24-Jun,np
493,ENCA (Pink),31.4,19.4,16.1,1.2,24-Jun,
494,HEWH (White),,,,,24-Jun,"np, g"
495,SAAP (White + Green),,,,,24-Jun,dead
496,HEWH (White),,,,,24-Jun,np
497,CEOL (Orange),,,,,24-Jun,dead
498,MALA (White + Yellow),,,,,24-Jun,dead
499,SAME (Orange + Pink),,,,,24-Jun,"np, g"
500,CEOL (Orange),,,,,24-Jun,dead
501,CEOL (Orange),,,,,25-Jun,np
502,SANI (Orange + Yellow),,,,,25-Jun,"np, g"
503,RHOV (White + Pink),25.5,16.5,10.8,0.53,25-Jun,
504,SAME (Orange + Pink),12.1,8.2,4.4,0.32,25-Jun,
505,SAAP (White + Green),22.7,23,14.8,0.81,25-Jun,
506,CEOL (Orange),,,,,25-Jun,np
507,RHOV (White + Pink),,,,,25-Jun,"np, g"
508,CEOL (Orange),35.9,7.8,4.3,0.49,25-Jun,herbivorized
509,HEAR,,,,,25-Jun,dead
510,ENCA (Pink),35.7,28.2,16.1,0.67,25-Jun,
511,HEWH (White),27.8,15.8,7.9,,25-Jun,
512,ENCA (Pink),,,,,,
513,SANI (Orange + Yellow),,,,,25-Jun,dead
514,SAAP (White + Green),30.8,12.9,11.4,1.2,25-Jun,
515,HEWH (White),29.8,27.5,5.1,,25-Jun,
516,SAAP (White + Green),15,4.9,4.8,0.34,25-Jun,
517,RHOV (White + Pink),30,11.6,11.4,0.5,25-Jun,
518,HEWH (White),,,,,25-Jun,"np, g"
519,CEOL (Orange),,,,,25-Jun,"np, g"
520,SAME (Orange + Pink),33.2,28.2,11.4,0.38,25-Jun,
521,ENCA (Pink),34.5,13,11.8,0.39,25-Jun,
522,RHOV (White + Pink),26.6,12.6,6.5,0.48,25-Jun,
523,ENCA (Pink),,,,,25-Jun,dead
524,CEOL (Orange),,,,,25-Jun,dead
525,HEWH (White),,,,,25-Jun,"np, g"
526,CEOL (Orange),,,,,25-Jun,"np, g"
527,RHOV (White + Pink),17.8,13.4,6.9,0.7,25-Jun,
528,CEOL (Orange),,,,,25-Jun,dead
529,CEOL (Orange),,,,,25-Jun,dead
530,SANI (Orange + Yellow),,,,,25-Jun,dead
531,MALA (White + Yellow),,,,,25-Jun,np
532,CEOL (Orange),43,12.6,11.6,0.4,25-Jun,
533,RHOV (White + Pink),,,,,25-Jun,dead
534,RHOV (White + Pink),22.6,13.8,13.6,0.7,25-Jun,
535,SAME (Orange + Pink),,,,,25-Jun,np
536,RHOV (White + Pink),,,,,25-Jun,"np, g"
537,SAME (Orange + Pink),,,,,25-Jun,np
538,CEOL (Orange),,,,,25-Jun,"np, g"
539,RHOV (White + Pink),,,,,25-Jun,np
540,MALA (White + Yellow),,,,,25-Jun,np
541,CEOL (Orange),,,,,25-Jun,np
542,CEOL (Orange),,,,,25-Jun,"np, g"
543,RHOV (White + Pink),,,,,25-Jun,np
544,HEWH (White),28.1,15.4,9.2,,25-Jun,
545,SAAP (White + Green),26.9,19.6,10.9,0.3,25-Jun,
546,RHOV (White + Pink),23.9,12.3,10.2,0.6,25-Jun,
547,ENCA (Pink),,,,,25-Jun,"np, g"
548,ADFA (Orange + Green),43.9,33.5,31,2.1,25-Jun,
549,CEOL (Orange),,,,,25-Jun,"np, g"
550,ENCA (Pink),,,,,25-Jun,dead
551,SANI (Orange + Yellow),28,17.3,17.1,0.5,25-Jun,
552,HEWH (White),,,,,25-Jun,dead
553,CEOL (Orange),8.7,3.2,1,0.2,25-Jun,
554,HEWH (White),31.2,24.6,16.6,,25-Jun,
555,ENCA (Pink),43.8,33.6,32.8,1.1,25-Jun,
556,MALA (White + Yellow),39.4,15.7,7.9,0.4,25-Jun,
557,HEWH (White),20.8,7.7,4.1,,24-Jun,
558,ADFA (Orange + Green),41.2,39,28.9,0.9,25-Jun,
559,MALA (White + Yellow),,,,,25-Jun,np
560,CEOL (Orange),,,,,25-Jun,"np, g"
561,CEOL (Orange),,,,,25-Jun,"np, g"
562,ENCA (Pink),,,,,25-Jun,dead
563,HEWH (White),39.2,23.7,19.8,,25-Jun,
564,HEWH (White),,,,,25-Jun,np
565,HEWH (White),,,,,25-Jun,"dead, herbivorized"
566,CEOL (Orange),7.6,4.3,3.7,0.3,25-Jun,
567,ENCA (Pink),,,,,25-Jun,np
568,ADFA (Orange + Green),,,,,25-Jun,dead
569,HEWH (White),,,,,25-Jun,"np, g"
570,ENCA (Pink),,,,,25-Jun,np
571,ADFA (Orange + Green),,,,,25-Jun,dead
572,HEWH (White),,,,,24-Jun,np
573,ADFA (Orange + Green),62.1,82.6,57.5,2.6,24-Jun,
574,SAAP (White + Green),37.5,31.9,27.8,2.1,24-Jun,
575,HEWH (White),,,,,24-Jun,np
576,SANI (Orange + Yellow),21,13.4,11.1,0.6,24-Jun,
577,HEWH (White),,,,,25-Jun,np
578,CEOL (Orange),,,,,25-Jun,dead
579,CEOL (Orange),,,,,24-Jun,np
580,ENCA (Pink),,,,,25-Jun,np
581,SANI (Orange + Yellow),,,,,24-Jun,dead
582,RHOV (White + Pink),,,,,24-Jun,np
583,RHOV (White + Pink),,,,,25-Jun,"np, g"
584,SANI (Orange + Yellow),28.8,23.1,22,0.9,24-Jun,
585,RHOV (White + Pink),18.1,15.1,14,0.8,24-Jun,
586,HEWH (White),,,,,24-Jun,dead
587,CEOL (Orange),29.4,13.6,9.9,0.8,24-Jun,
588,SAME (Orange + Pink),,,,,24-Jun,"np, g"
589,SAME (Orange + Pink),,,,,24-Jun,dead
590,ENCA (Pink),60.3,38,34.9,1.8,24-Jun,
591,CEOL (Orange),,,,,24-Jun,"np, g"
592,ADFA (Orange + Green),52.1,23.5,23.1,3.1,24-Jun,
593,CEOL (Orange),,,,,24-Jun,"np, g"
594,CEOL (Orange),,,,,24-Jun,np
595,ENCA (Pink),,,,,25-Jun,np
596,ADFA (Orange + Green),,,,,25-Jun,dead
597,HEWH (White),33.1,21,18.5,,24-Jun,
598,RHOV (White + Pink),,,,,24-Jun,"np, g"
599,SAME (Orange + Pink),,,,,25-Jun,np
600,CEOL (Orange),,,,,25-Jun,np
601,HEWH (White),30.8,33.4,24,,24-Jun,
602,SAAP (White + Green),,,,,25-Jun,np
603,CEOL (Orange),,,,,24-Jun,np
604,SAME (Orange + Pink),17.5,8.6,8.1,1.3,24-Jun,
605,RHOV (White + Pink),,,,,25-Jun,"np, g"
606,SAAP (White + Green),35.8,30.5,20.5,0.9,24-Jun,
607,RHOV (White + Pink),30.1,13,12.1,0.5,24-Jun,
608,ADFA (Orange + Green),45.2,44.5,35.6,0.5,24-Jun,
609,CEOL (Orange),,,,,25-Jun,dead
610,MALA (White + Yellow),,,,,25-Jun,"np, g"
611,CEOL (Orange),,,,,24-Jun,dead
612,RHOV (White + Pink),,,,,24-Jun,"dead, buried"
613,RHOV (White + Pink),,,,,25-Jun,dead
614,CEOL (Orange),,,,,24-Jun,"np, g"
615,HEWH (White),,,,,24-Jun,"np, g"
616,SANI (Orange + Yellow),,,,,24-Jun,dead
617,SAAP (White + Green),,,,,24-Jun,"np, g"
618,RHOV (White + Pink),,,,,24-Jun,"np, g"
619,ENCA (Pink),,,,,24-Jun,dead
620,HEWH (White),,,,,24-Jun,dead
621,ENCA (Pink),52.1,20.4,11.7,0.6,24-Jun,
622,SANI (Orange + Yellow),26.3,16.1,8.7,0.4,24-Jun,
623,RHOV (White + Pink),24.1,13.3,11,0.5,24-Jun,
624,HEWH (White),27.1,43.5,47,,24-Jun,
625,CEOL (Orange),,,,,24-Jun,np
626,ADFA (Orange + Green),,,,,24-Jun,dead
627,MALA (White + Yellow),,,,,24-Jun,dead
628,SANI (Orange + Yellow),,,,,24-Jun,"np, g"
629,HEWH (White),31.3,48.6,29.1,,24-Jun,
630,SAME (Orange + Pink),,,,,24-Jun,dead
631,RHOV (White + Pink),,,,,24-Jun,np
632,ENCA (Pink),,,,,24-Jun,"np, g"
633,CEOL (Orange),11.9,6,4.9,0.4,24-Jun,
634,CEOL (Orange),,,,,24-Jun,"np, g"
635,ENCA (Pink),42.2,15.2,12.7,0.6,24-Jun,dead
636,ENCA (Pink),21,10.8,7.2,0.4,24-Jun,
637,ENCA (Pink),,,,,24-Jun,dead
638,CEOL (Orange),,,,,24-Jun,np
639,SAAP (White + Green),,,,,24-Jun,np
640,CEOL (Orange),,,,,24-Jun,np
641,CEOL (Orange),,,,,24-Jun,np
642,ENCA (Pink),,,,,24-Jun,np
643,RHOV (White + Pink),,,,,24-Jun,dead
644,CEOL (Orange),,,,,24-Jun,"np, g"
645,HEWH (White),,,,,24-Jun,np
646,RHOV (White + Pink),,,,,24-Jun,dead
647,MALA (White + Yellow),,,,,24-Jun,"np, g"
648,RHOV (White + Pink),,,,,24-Jun,np
649,CEOL (Orange),,,,,24-Jun,"np, g"
650,RHOV (White + Pink),,,,,24-Jun,np
651,HEWH (White),,,,,24-Jun,"np, g"
652,HEWH (White),,,,,24-Jun,np
653,CEOL (Orange),,,,,24-Jun,np
654,SAME (Orange + Pink),,,,,24-Jun,"np, g"
655,HEWH (White),20.8,33.9,16.3,,24-Jun,
656,SANI (Orange + Yellow),27.5,17.8,14.8,1.1,24-Jun,
657,RHOV (White + Pink),,,,,24-Jun,np
658,ENCA (Pink),,,,,24-Jun,np
659,ADFA (Orange + Green),,,,,24-Jun,"dead, g"
660,CEOL (Orange),,,,,24-Jun,np
661,CEOL (Orange),11.4,5.9,4.2,0.3,24-Jun,
662,ADFA (Orange + Green),50.4,34.3,32.2,0.7,24-Jun,
663,MALA (White + Yellow),7.6,6.2,5.6,0.2,24-Jun,
664,ENCA (Pink),,,,,24-Jun,"np, g"
665,ENCA (Pink),4.2,5,2.4,inaccessible,24-Jun,buried
666,SANI (Orange + Yellow),23.5,10.6,9,0.8,24-Jun,sad
667,CEOL (Orange),7.3,4.1,2.8,0.3,24-Jun,herbivorized
668,RHOV (White + Pink),10.1,8.4,6.6,0.5,24-Jun,
669,ADFA (Orange + Green),57.1,53.4,29.1,1.1,24-Jun,
670,SAME (Orange + Pink),6,3.8,4.4,0.3,24-Jun,herbivorized
671,CEOL (Orange),,,,,24-Jun,np
672,MALA (White + Yellow),,,,,24-Jun,dead
673,ADFA (Orange + Green),52.1,28.7,23.7,1.6,24-Jun,
674,RHOV (White + Pink),23.2,14.1,10,0.6,24-Jun,
675,SANI (Orange + Yellow),,,,,25-Jun,dead
676,RHOV (White + Pink),18.6,11.8,6.9,0.4,24-Jun,dead
677,SANI (Orange + Yellow),,,,,24-Jun,np
678,ADFA (Orange + Green),51.3,33.6,26.8,2.6,24-Jun,
679,HEWH (White),,,,,24-Jun,np
680,CEOL (Orange),,,,,24-Jun,np
681,SANI (Orange + Yellow),33.4,26.3,15.9,1.3,24-Jun,
682,HEWH (White),,,,,24-Jun,"np, g"
683,HEWH (White),24.7,29.7,13.1,,24-Jun,
684,HEWH (White),,,,,24-Jun,np
685,HEWH (White),,,,,24-Jun,"np, g"
686,ENCA (Pink),44.8,33.2,38.9,0.8,24-Jun,
687,CEOL (Orange),,,,,24-Jun,np
688,ENCA (Pink),,,,,25-Jun,"np, g (no coin catch#2)"
689,ENCA (Pink),,,,,24-Jun,"np, g"
690,HEWH (White),,,,,24-Jun,"np, g"
691,SANI (Orange + Yellow),,,,,24-Jun,np
692,CEOL (Orange),,,,,24-Jun,np
693,RHOV (White + Pink),,,,,24-Jun,"np, g"
694,HEAR,,,,,24-Jun,dead
695,CEOL (Orange),,,,,24-Jun,np
696,CEOL (Orange),,,,,24-Jun,dead
697,HEWH (White),,,,,24-Jun,"np, g"
698,ENCA CEOL (Pink),,,,,24-Jun,dead
699,RHOV (White + Pink),,,,,24-Jun,"np, g"
700,RHOV (White + Pink),,,,,24-Jun,dead
701,CEOL (Orange),,,,,24-Jun,"np, g"
702,SANI (Orange + Yellow),29.9,19.1,21.6,0.8,24-Jun,
703,ENCA (Pink),,,,,24-Jun,"np, g"
704,RHOV (White + Pink),,,,,24-Jun,"np, g"
705,HEWH (White),,,,,24-Jun,"np, g"
706,RHOV (White + Pink),,,,,24-Jun,np
707,SAAP (White + Green),,,,,24-Jun,np
708,SAAP (White + Green),,,,,24-Jun,dead
709,ENCA (Pink),,,,,24-Jun,"dead, buried"
710,CEOL (Orange),,,,,24-Jun,np
711,MALA (White + Yellow),,,,,24-Jun,np
712,HEWH (White),,,,,24-Jun,"np, g"
713,ENCA (Pink),,,,,24-Jun,"np, g"
714,RHOV (White + Pink),,,,,24-Jun,"np, g"
715,ENCA (Pink),,,,,24-Jun,dead
716,SAME (Orange + Pink),,,,,24-Jun,np
717,CEOL (Orange),20.6,6.1,7,0.3,24-Jun,
718,SAAP (White + Green),23.8,18.1,14.1,0.6,24-Jun,
719,RHOV (White + Pink),16.5,21.9,14.6,0.8,24-Jun,
720,CEOL (Orange),,,,,24-Jun,dead
721,RHOV (White + Pink),,,,,24-Jun,"np, g"
722,CEOL (Orange),,,,,24-Jun,dead
723,RHOV (White + Pink),,,,,24-Jun,"dead, buried"
724,ENCA (Pink),,,,,24-Jun,"np, g"
725,CEOL (Orange),,,,,24-Jun,"np, g"
726,CEOL (Orange),,,,,24-Jun,"np, g"
727,RHOV (White + Pink),,,,,24-Jun,dead
728,CEOL (Orange),,,,,24-Jun,"np, g"
729,HEWH (White),8.2,2.6,0.9,,24-Jun,
730,ENCA (Pink),,,,,24-Jun,"np, g"
731,HEWH (White),28.6,32.6,23.9,,24-Jun,
732,CEOL (Orange),,,,,24-Jun,np
733,RHOV (White + Pink),,,,,24-Jun,"np, g"
734,RHOV (White + Pink),,,,,24-Jun,dead
735,SANI (Orange + Yellow),,,,,24-Jun,np
736,ENCA (Pink),47.6,33.6,26.5,1.7,24-Jun,
737,RHOV (White + Pink),,,,,24-Jun,dead
738,CEOL (Orange),34.1,10.1,8,0.4,24-Jun,
739,RHOV (White + Pink),13.9,6.8,7.1,0.5,24-Jun,
740,RHOV (White + Pink),30.2,17.8,14.1,0.6,24-Jun,
741,ENCA (Pink),,,,,24-Jun,np
742,HEWH (White),,,,,24-Jun,dead
743,RHOV (White + Pink),17.1,13.8,8.9,0.4,24-Jun,
744,CEOL (Orange),20.7,12.1,6.1,0.3,24-Jun,
745,CEOL (Orange),,,,,24-Jun,dead
746,MALA (White + Yellow),,,,,24-Jun,"dead, g.a."
747,CEOL (Orange),,,,,24-Jun,np
748,SAAP (White + Green),,,,,24-Jun,np
749,RHOV (White + Pink),,,,,24-Jun,np
750,SANI (Orange + Yellow),,,,,24-Jun,np
751,ENCA (Pink),,,,,24-Jun,"np, g"
752,RHOV (White + Pink),,,,,24-Jun,np
753,CEOL (Orange),18,6.2,4.3,0.4,24-Jun,herbivorized
754,ENCA (Pink),,,,,24-Jun,np
755,SAAP (White + Green),,,,,24-Jun,np
756,SAAP (White + Green),,,,,24-Jun,np
757,CEOL (Orange),,,,,24-Jun,np
758,HEWH (White),,,,,26-Jun,"np, g"
759,SAAP (White + Green),,,,,24-Jun,dead
760,ENCA (Pink),59.3,43.1,34.3,1.1,24-Jun,
761,HEWH (White),,,,,24-Jun,np
762,HEWH (White),,,,,24-Jun,"np, g"
763,SANI (Orange + Yellow),24.1,8.8,8.6,0.4,24-Jun,
764,MALA (White + Yellow),,,,,24-Jun,np
765,ADFA (Orange + Green),41.1,72.9,36.3,0.7,24-Jun,
766,CEOL (Orange),,,,,24-Jun,np
767,HEWH (White),,,,,24-Jun,np
768,ADFA (Orange + Green),40.1,43.1,42.6,1.1,24-Jun,
769,CEOL (Orange),,,,,24-Jun,np
770,CEOL (Orange),,,,,24-Jun,dead
771,RHOV (White + Pink),27.6,14.5,15.4,1.1,24-Jun,
772,SAAP (White + Green),16.2,9.4,9,1,24-Jun,
773,RHOV (White + Pink),26.2,8.4,8.7,0.7,24-Jun,
774,CEOL (Orange),,,,,24-Jun,dead
775,HEWH (White),,,,,24-Jun,np
776,CEOL (Orange),,,,,24-Jun,np
777,CEOL (Orange),,,,,24-Jun,"np, g"
778,CEOL (Orange),,,,,24-Jun,np
779,ADFA (Orange + Green),36.2,49.1,31,0.7,24-Jun,
780,ADFA (Orange + Green),,,,,24-Jun,"dead, g"
781,HEWH (White),,,,,24-Jun,np
782,CEOL (Orange),,,,,24-Jun,np
783,MALA (White + Yellow),,,,,24-Jun,dead
784,ENCA (Pink),52.4,39.9,32.4,0.7,24-Jun,sad
785,SAAP (White + Green),,,,,24-Jun,np
786,ADFA (Orange + Green),42,49.8,40.5,1.4,24-Jun,
787,RHOV (White + Pink),,,,,24-Jun,"np, g"
788,HEWH (White),,,,,24-Jun,np
789,CEOL (Orange),,,,,24-Jun,np
790,SAAP (White + Green),,,,,24-Jun,np
791,CEOL (Orange),,,,,24-Jun,np
792,CEOL (Orange),,,,,24-Jun,"np, g"
793,HEWH (White),15.4,34.3,40.8,,24-Jun,sad
794,ADFA (Orange + Green),54.3,61,48.2,0.9,24-Jun,
795,ENCA (Pink),28.4,9.4,9.3,0.6,24-Jun,
796,ENCA (Pink),,,,,24-Jun,dead
797,CEOL (Orange),3.3,2.2,1.7,0.3,24-Jun,herbivorized
798,SAME (Orange + Pink),8.3,2.3,5.1,0.4,24-Jun,
799,MALA (White + Yellow),,,,,24-Jun,dead
800,ENCA (Pink),35.4,7.6,6,0.5,24-Jun,
801,HEWH (White),37.2,27.1,20.5,,25-Jun,
802,HEWH (White),,,,,24-Jun,np
803,ENCA (Pink),,,,,24-Jun,np
804,MALA (White + Yellow),3.8,2.7,2.1,0.48,25-Jun,"1 tiny bud, no coin, right above tarp"
805,ADFA (Orange + Green),47.3,28.6,35.3,1.6,24-Jun,
806,SAAP (White + Green),,,,,24-Jun,np
807,RHOV (White + Pink),,,,,24-Jun,dead
808,HEWH (White),,,,,24-Jun,np
809,CEOL (Orange),,,,,24-Jun,np
810,ENCA (Pink),49.9,19.8,16,0.4,24-Jun,
811,SAME (Orange + Pink),7.3,6,6.2,0.3,24-Jun,
812,HEWH (White),31.4,42.5,29.8,,5-Jun,
813,SAAP (White + Green),,,,,24-Jun,dead
814,ADFA (Orange + Green),67.1,31.2,25,2.5,24-Jun,
815,MALA (White + Yellow),,,,,24-Jun,np
816,CEOL (Orange),,,,,24-Jun,"np, g"
817,HEWH (White),,,,,24-Jun,np
818,HEWH (White),,,,,24-Jun,"np, g"
819,ADFA (Orange + Green),37.5,54.25,40.5,1.5,5-Jun,
820,SANI (Orange + Yellow),9.9,5.25,3.25,0.32,5-Jun,
821,HEWH (White),19.3,29.8,18.75,,5-Jun,
822,RHOV (White + Pink),17.75,11.2,8.4,0.46,5-Jun,
823,MALA (White + Yellow),,,,,5-Jun,dead
824,ENCA (Pink),53,17.3,13.6,0.8,5-Jun,
825,ENCA (Pink),,,,,24-Jun,dead
826,ADFA (Orange + Green),47.4,24.6,22.1,0.8,24-Jun,2 stems
827,ENCA (Pink),14.1,5.1,3.6,0.5,24-Jun,
828,SANI (Orange + Yellow),,,,,24-Jun,np
829,HEWH (White),34.9,16.4,9.8,,24-Jun,
830,SAAP (White + Green),,,,,24-Jun,dead
831,SAAP (White + Green),,,,,24-Jun,np
832,ENCA (Pink),17.75,47.7,6.9,0.65,5-Jun,
833,MALA (White + Yellow),,,,,5-Jun,dead
834,HEWH (White),20,22.6,13,,5-Jun,
835,CEOL (Orange),,,,,5-Jun,dead
836,HEWH (White),17.6,21.5,19.6,,5-Jun,
837,HEWH (White),20,33.6,18.1,,5-Jun,
838,SAAP (White + Green),,,,,5-Jun,np
839,CEOL (Orange),,,,,5-Jun,np
840,RHOV (White + Pink),,,,,5-Jun,np
841,MALA (White + Yellow),,,,,5-Jun,"dead, catch2"
842,ENCA (Pink),35,24.9,5.75,0.55,5-Jun,
843,RHOV (White + Pink),10.5,6.8,6.3,0.57,5-Jun,
844,RHOV (White + Pink),10,6.2,5.2,0.34,5-Jun,g.a.
845,HEWH (White),,,,,5-Jun,np
846,MALA (White + Yellow),17.25,2.35,26.2,0.41,5-Jun,
847,CEOL (Orange),,,,,5-Jun,np
848,CEOL (Orange),,,,,5-Jun,np
849,HEWH (White),19.9,13.75,6.4,,5-Jun,
850,SANI (Orange + Yellow),9.5,5.3,3.9,0.41,5-Jun,
851,HEWH (White),3.9,2,0.7,,5-Jun,
852,RHOV (White + Pink),13,7.9,3.6,0.3,5-Jun,
853,SAAP (White + Green),16.8,6.4,6.3,0.39,5-Jun,
854,SAME (Orange + Pink),,,,,5-Jun,np
855,CEOL (Orange),,,,,5-Jun,np
856,ENCA (Pink),,,,,5-Jun,np
857,ENCA (Pink),21.5,24,8.1,0.4,5-Jun,
858,SAME (Orange + Pink),21.4,12.25,11.5,0.44,5-Jun,
859,HEAR,,,,,5-Jun,dead
860,ENCA (Pink),26.8,20.9,5,0.5,5-Jun,
861,RHOV (White + Pink),24.9,8.5,10.4,0.55,5-Jun,
862,SAME (Orange + Pink),19.2,6.3,6.75,0.39,5-Jun,
863,ENCA (Pink),31.5,41.25,20.75,0.8,5-Jun,
864,HEWH (White),29,23.25,21.5,,5-Jun,
865,HEWH (White),12,17.75,1.75,,5-Jun,
866,SANI (Orange + Yellow),,,,,5-Jun,dead
867,SAAP (White + Green),,,,,5-Jun,"np, g"
868,CEOL (Orange),,,,,5-Jun,np
869,SAME (Orange + Pink),15,8.75,3,0.39,5-Jun,
870,HEWH (White),17.5,12.5,11,,5-Jun,
871,HEWH (White),18.25,23.25,13.5,,5-Jun,
872,SAAP (White + Green),13.9,20.4,7.6,0.45,5-Jun,
873,ENCA (Pink),44.5,30.5,18,0.45,5-Jun,
874,ADFA (Orange + Green),52,50,30.5,2,5-Jun,
875,SAME (Orange + Pink),39.5,21.5,17,0.7,5-Jun,
876,SAAP (White + Green),20.2,10.7,8.2,0.4,5-Jun,
877,RHOV (White + Pink),,,,,5-Jun,"np, g"
878,CEOL (Orange),,,,,5-Jun,dead
879,HEWH (White),21.9,46.5,19,,5-Jun,
880,RHOV (White + Pink),,,,,5-Jun,"np, g"
881,HEWH (White),23.5,37,21.5,,5-Jun,
882,ENCA (Pink),41.5,25.75,13.5,0.8,5-Jun,
883,SAAP (White + Green),26.25,29,17,1,5-Jun,
884,CEOL (Orange),32.4,9,6.4,0.3,5-Jun,
885,MALA (White + Yellow),28.75,19,7,0.5,5-Jun,
886,HEWH (White),25.6,54,39,,5-Jun,
887,CEOL (Orange),,,,,5-Jun,dead
888,CEOL (Orange),,,,,5-Jun,"np, g"
889,ENCA (Pink),,,,,5-Jun,"np, buried"
890,SANI (Orange + Yellow),13,3.8,3.3,0.53,5-Jun,
891,MALA (White + Yellow),,,,,5-Jun,"np, g"
892,HEWH (White),21.25,37.5,24,,5-Jun,
893,CEOL (Orange),,,,,5-Jun,"np, g"
894,ENCA (Pink),,,,,5-Jun,"np, g"
895,ENCA (Pink),,,,,5-Jun,"np, g"
896,SANI (Orange + Yellow),,,,,5-Jun,dead
897,SANI (Orange + Yellow),,,,,5-Jun,"np, g"
898,HEWH (White),33.4,36.3,30.2,,5-Jun,
899,CEOL (Orange),28.4,6.8,4.3,0.26,5-Jun,
900,NO PLANT,,,,,,
901,CEOL (Orange),,,,,5-Jun,
902,ENCA (Pink),,,,,5-Jun,
903,ENCA (Pink),,,,,5-Jun,
904,RHOV (White + Pink),,,,,5-Jun,
905,ADFA (Orange + Green),,,,,5-Jun,
906,SAME (Orange + Pink),11.4,5.4,4,0.26,25-Jun,
907,SANI (Orange + Yellow),40.5,18.5,17.3,0.69,25-Jun,
908,ENCA (Pink),,,,,25-Jun,dead
909,HEWH (White),,,,,5-Jun,
910,ENCA (Pink),,,,,5-Jun,
911,SANI (Orange + Yellow),17.3,6.9,6.5,0.4,24-Jun,sad
912,ENCA (Pink),,,,,5-Jun,
913,ENCA (Pink),,,,,5-Jun,
914,SAME (Orange + Pink),,,,,5-Jun,np
915,SANI (Orange + Yellow),,,,,5-Jun,dead
916,CEOL (Orange),,,,,5-Jun,np
917,HEWH (White),,,,,5-Jun,np
918,HEWH (White),,,,,5-Jun,np
919,ADFA (Orange + Green),,,,,5-Jun,
920,SANI (Orange + Yellow),,,,,5-Jun,np
921,ENCA (Pink),,,,,5-Jun,
922,SAAP (White + Green),,,,,5-Jun,np
923,ENCA (Pink),,,,,5-Jun,dead
924,RHOV (White + Pink),,,,,5-Jun,
925,CEOL (Orange),,,,,5-Jun,np
926,CEOL (Orange),,,,,5-Jun,
927,RHOV (White + Pink),,,,,5-Jun,
928,MALA (White + Yellow),,,,,5-Jun,
929,SANI (Orange + Yellow),,,,,5-Jun,np
930,RHOV (White + Pink),,,,,5-Jun,np
931,HEWH (White),,,,,5-Jun,
932,CEOL (Orange),,,,,5-Jun,np
933,CEOL (Orange),,,,,5-Jun,dead
934,HEWH (White),,,,,5-Jun,np
935,RHOV (White + Pink),13.9,13.9,13.5,0.68,5-Jun,
936,ADFA (Orange + Green),58,47.5,33,0.8,5-Jun,
937,SANI (Orange + Yellow),,,,,5-Jun,dead
938,ENCA (Pink),15,5.4,3.9,0.55,5-Jun,
939,CEOL (Orange),,,,,5-Jun,np
940,SANI (Orange + Yellow),19.5,7.3,4.75,0.48,5-Jun,
941,SAAP (White + Green),12,23.8,14.75,0.47,5-Jun,
942,SAAP (White + Green),,,,,5-Jun,np
943,HEWH (White),22,28.75,11.4,,5-Jun,
944,SANI (Orange + Yellow),11.4,4.9,3.75,0.4,5-Jun,
945,ADFA (Orange + Green),,,,,5-Jun,dead
946,RHOV (White + Pink),,,,,5-Jun,"np, g"
947,MALA (White + Yellow),,,,,5-Jun,"np, g"
948,HEWH (White),,,,,5-Jun,"np, g"
949,SANI (Orange + Yellow),,,,,5-Jun,"np, g"
950,SANI (Orange + Yellow),22.7,13.8,9,0.7,5-Jun,
951,SANI (Orange + Yellow),12.4,12.2,9.7,0.54,5-Jun,
952,SAME (Orange + Pink),,,,,5-Jun,"np, g"
953,ENCA (Pink),,,,,5-Jun,"np, g"
954,RHOV (White + Pink),18.25,19.5,10.4,0.52,5-Jun,
955,RHOV (White + Pink),20.75,14.6,14.5,0.51,5-Jun,
956,SAAP (White + Green),18.2,27.8,24.25,0.5,5-Jun,
957,CEOL (Orange),,,,,5-Jun,"np, g"
958,NO PLANT,,,,,,
959,ENCA (Pink),,,,,5-Jun,np
960,ENCA (Pink),,,,,5-Jun,dead
961,RHOV (White + Pink),18.2,9.9,7.5,0.55,5-Jun,
962,HEWH (White),24.75,22.5,5.8,,5-Jun,
963,CEOL (Orange),,,,,5-Jun,dead
964,MALA (White + Yellow),,,,,5-Jun,dead
