ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
1,ENCA (Pink),46.1,15.84,9.47,0.37,,1/17/20,
2,CEOL (Orange),25.6,7.8,7.68,0.28,,1/17/20,
3,ENCA (Pink),23,27,8.4,0.4,,1/17/20,
4,ENCA (Pink),15,35.5,15,0.33,,1/17/20,
5,CEOL (Orange),5.6,5.6,4,0.19,,3/27/20,replant and moved
6,HEWH (White),17,33,28,,,1/17/20,
7,SAME (Orange + Pink),20.2,5.9,5.3,0.31,,2/20,
8,SANI (Orange + Yellow),9.5,19.5,21.25,0.5,,2/13/20,
9,SANI (Orange + Yellow),21.5,9.5,9.25,0.24,,2/13/20,
10,RHOV (White + Pink),9.5,6.5,5,0.26,,1/17/20,
11,SANI (Orange + Yellow),14.7,25.8,25.3,0.35,,2/13/20,
12,CEOL (Orange),15,15.5,5,0.26,,1/17/20,
13,HEWH (White),23,40,19.5,,,1/17/20,
14,HEWH (White),17,33.5,21,,,1/17/20,
15,CEOL (Orange),27,8,8.5,0.28,,1/17/20,
16,SANI (Orange + Yellow),9.8,17,11.8,0.33,,2/13/20,
17,SAAP (White + Green),12.9,17.3,12.1,0.31,,2/13/20,
18,SAME (Orange + Pink),10.3,8.1,7.6,0.41,,2/20/20,
19,ENCA (Pink),29.5,23,11.5,0.4,,1/17/20,"""this guy is hype"""
20,MALA (White + Yellow),32.8,16.4,14.4,0.47,,2/13/20,
21,SAAP (White + Green),19.4,14,12.8,0.35,,2/13/20,
22,CEOL (Orange),25,10,10,0.26,,1/17/20,
23,ENCA (Pink),33,10,8.5,0.29,,1/17/20,
24,HEWH (White),16,52,16,,,1/17/20,
25,CEOL (Orange),29.5,7,5,0.27,,1/17/20,
26,ENCA (Pink),51.1,1,10.8,0.4,,3/19/20,replant
27,SAME (Orange + Pink),20.25,7.25,5,0.35,,2/20/20,
28,SAME (Orange + Pink),8.5,4,4,0.26,,2/20/20,
29,SANI (Orange + Yellow),9,16.25,8.5,0.3,,2/14/20,
30,SAME (Orange + Pink),20.25,8.5,7.25,0.5,,2/20/20,
31,CEOL (Orange),37.6,10.1,11.7,0.0836,,1/25/20,
32,SANI (Orange + Yellow),31.5,13.25,11,0.33,,2/13/20,
33,MALA (White + Yellow),45,20.75,7.75,0.31,,2/13/20,
34,ADFA (Orange + Green),50.5,65.7,62.1,0.82,1 GAL ,1/21/20,
35,ADFA (Orange + Green),30.8,47.5,41.2,0.62,1 GAL ,1/21/20,
36,SAME (Orange + Pink),,,,,,,already planted
37,MALA (White + Yellow),42.25,17.25,16,0.5,,2/13/20,
38,HEWH (White),18.4,31,14,,,1/18/20,
39,CEOL (Orange),8.6,11.1,5.7,0.2,,3/27/20,replant
40,CEOL (Orange),25.5,14.2,10.6,0.054,,1/25/20,
41,CEOL (Orange),31,9.8,12,0.0538,,1/25/20,
42,HEWH (White),30,15,10,NA,,1/18/20,
43,ENCA (Pink),39,16,12,0.3,,1/18/20,
44,ENCA (Pink),22,27,22,0.4,,1/18/20,
45,ENCA (Pink),33,17,12,0.25,,1/18/20,
46,HEWH (White),18,27,0.5,0.48,,1/18/20,
47,SAME (Orange + Pink),14.25,6.5,5.25,0.27,,2/20/20,
48,RHOV (White + Pink),13,9,8,0.5,,1/18/20,
49,HEWH (White),15,32.5,24,,,1/18/20,
50,RHOV (White + Pink),12,9,7,0.5,,1/18/20,
51,SAAP (White + Green),24.75,19.25,10.75,0.37,,2/13/20,
52,HEWH (White),18.8,25,1.5,,,1/18/20,
53,ADFA (Orange + Green),52.5,59,62,0.67,1 GAL ,1/21/20,
54,CEOL (Orange),31.4,9.2,10.3,0.311,,1/25/20,
55,HEWH (White),18.6,39.3,31.2,,,1/18/20,
56,HEWH (White),27.5,30.5,22.2,,,1/18/20,
57,ENCA (Pink),33.4,7,6,0.41,,1/18/20,
58,CEOL (Orange),18.7,10.3,9.3,0.261,,1/25/20,
59,MALA (White + Yellow),40,14.75,14.5,0.59,,2/13/20,
60,SAAP (White + Green),19.75,13.25,14,0.34,,2/13/20,
61,ENCA (Pink),41,10,9,0.28,,1/18/20,
62,HEWH (White),16,38,28,NA,,1/18/20,
63,HEWH (White),28,31,31,NA,,1/18/20,
64,SANI (Orange + Yellow),8,13.75,9,0.31,,2/13/20,
65,CEOL (Orange),31.3,9.5,8.8,0.0535,,1/25/20,
66,ENCA (Pink),52.4,25.6,13.3,0.45,,3/19/20,replant
67,CEOL (Orange),40.2,7.5,7.3,0.014,,1/25/20,
68,HEWH (White),19,27,27,NA,,1/18/20,
69,HEWH (White),20,42,27,NA,,1/18/20,
70,HEWH (White),18,23,10,NA,,1/18/20,
71,SAME (Orange + Pink),12.25,5.75,5.5,0.5,,2/20,
72,MALA (White + Yellow),30,17.75,18.75,0.47,,2/14/20,
73,CEOL (Orange),23.2,14.5,12.4,0.1073,,1/25/20,
74,HEWH (White),20.6,34,22.6,      -------------,,1/21/20,
75,RHOV (White + Pink),13.2,9.4,6.8,0.59,,1/21/20,
76,HEWH (White),22.4,34.5,11.7,,,1/18/20,
77,RHOV (White + Pink),19,12,8.8,0.54,,1/18/20,
78,ENCA (Pink),29.8,9,8.5,0.35,,1/18/20,
79,SAAP (White + Green),18.5,16.75,11,0.54,,2/13,
80,MALA (White + Yellow),36.5,14.25,13.75,0.38,,2/13,
81,SAAP (White + Green),19,16.5,15,0.4,,2/13/20,
82,CEOL (Orange),19,14.5,5.25,0.32,,2/20/20,
83,SAAP (White + Green),27.5,15.75,15.5,0.45,,2/13/20,
84,RHOV (White + Pink),10.4,7.2,7.5,0.33,,1/21/20,
85,CEOL (Orange),19.5,11.5,6.7,0.228,,1/25/20,
86,CEOL (Orange),23.75,8,7.5,0.39,,2/20/20,
87,ENCA (Pink),19.1,6.8,8.6,0.27,,1/21/20,
88,SAAP (White + Green),25.75,16,12.5,0.47,,2/14/20,
89,ENCA (Pink),35.4,17,13.7,0.27,,1/21/20,
90,ADFA (Orange + Green),41.8,45.4,41.8,0.63,1 GAL ,1/21/20,
91,RHOV (White + Pink),11.3,6.1,4.4,0.27,,1/21/20,
92,ENCA (Pink),18,14,7.5,0.2,,1/18/20,
93,HEWH (White),17,19.8,18,,,1/18/20,
94,SAME (Orange + Pink),14.5,8.75,7,0.41,,2/20,
95,HEWH (White),14.9,38.4,18,,,1/21/20,
96,SANI (Orange + Yellow),25.25,9,9,0.26,,2/13,
97,SAAP (White + Green),19.25,14.25,12.25,0.65,,2/13,
98,SANI (Orange + Yellow),11,18.75,18.5,0.38,,2/13,
99,CEOL (Orange),22.1,11.9,6.7,0.27,,1/25/20,
100,SAAP (White + Green),25.75,13.75,13.75,0.53,,2/14,
101,ENCA (Pink),18,28.9,20.2,0.29,,1/17/20,
102,SAME (Orange + Pink),8.5,10.9,7.8,0.23,,2/20/20,
103,ENCA (Pink),23.6,19.5,9.7,0.27,,1/17/20,
104,ADFA (Orange + Green),58.7,54,37.6,0.83,1 GAL ,1/17/20,
105,MALA (White + Yellow),36.4,14.7,12.4,0.34,,2/13/20,
106,RHOV (White + Pink),10.29,9.19,5.03,0.57,,1/17/20,
107,MALA (White + Yellow),33.8,12.1,10.9,0.34,,2/13/20,
108,ENCA (Pink),17.6,19.2,11.8,0.3,,1/17/20,
109,RHOV (White + Pink),12.88,10.72,5.15,0.49,,1/17/20,
110,RHOV (White + Pink),11.5,8,5.5,0.39,,1/17/20,
111,SAAP (White + Green),19.3,18.1,14.7,0.48,,2/13/20,
112,HEWH (White),29.5,11.5,10.5,,,1/17/20,
113,ADFA (Orange + Green),38.5,67,46,0.62,1 GAL ,1/17/20,
114,CEOL (Orange),16.203,10.85,9.592,0.43,,1/17/20,
115,CEOL (Orange),30,7,6.5,0.32,,1/17/20,
116,ENCA (Pink),29.5,6.5,6.5,0.35,,1/17/20,
117,SAME (Orange + Pink),15.3,7.4,6.3,0.34,,2/20/20,
118,SAAP (White + Green),25.2,15.9,14.6,0.48,,2/13/20,
119,HEWH (White),15.5,40,18.4,,,1/17/20,
120,ENCA (Pink),22,14,12,0.41,,1/17/20,
121,SAME (Orange + Pink),8.3,9.7,7.4,0.28,,2/20/20,
122,CEOL (Orange),30.6,12.7,9.8,0.28,,2/13/20,
123,SAME (Orange + Pink),10.8,7.1,6.7,0.29,,2/20/20,
124,RHOV (White + Pink),9.5,6,6.5,0.35,,1/17/20,
125,CEOL (Orange),27.5,13,9.5,0.3,,1/17/20,
126,SANI (Orange + Yellow),9.1,16.4,12.4,0.32,,2/13/20,
127,CEOL (Orange),14.88,8.385,6.977,0.233,,1/17/20,
128,ENCA (Pink),27.5,7.5,5.5,0.32,,1/17/20,
129,ENCA (Pink),49,12,7,0.41,,1/17/20,
130,RHOV (White + Pink),14.6,9.8,14.4,0.63,,1/18/20,
131,MALA (White + Yellow),34.6,23.6,10.2,0.4,,2/13/20,
132,RHOV (White + Pink),8.5,6,4.5,0.32,,1/17/20,
133,HEWH (White),28.5,39,13,,,1/17/20,
134,ENCA (Pink),31,7.5,7,0.38,,1/17/20,rocky plot 
135,SAAP (White + Green),25.2,18.9,15.5,0.37,,2/13,
136,ENCA (Pink),43.2,15,10.5,0.66,,1/18/20,
137,SAAP (White + Green),22.2,13.4,12.1,0.36,,2/13,
138,ADFA (Orange + Green),72,42,34,0.673,1 GAL ,1/21/20,
139,ADFA (Orange + Green),51,74,37,0.585,1 GAL ,1/21/20,
140,SANI (Orange + Yellow),14.6,28.5,24.3,0.4,,2/14,
141,HEWH (White),23.5,34,12,,,1/21/20,
142,RHOV (White + Pink),16,7.2,7.8,0.46,,1/21/20,
143,ENCA (Pink),25.6,6.8,5.4,0.373,,1/18/20,
144,HEWH (White),28.9,39.6,16.5,,,1/18/20,
145,CEOL (Orange),21.5,7.8,6.7,0.3,,2/14,
146,CEOL (Orange),15.9,9.7,8.3,0.22,,2/27,
147,RHOV (White + Pink),9.7,7,4,0.4,,1/18/20,
148,MALA (White + Yellow),22.4,12,10.2,0.37,,2/13,
149,ENCA (Pink),33.2,7.1,9.6,0.38,,1/18/20,
150,MALA (White + Yellow),33.5,16.4,10.8,0.37,,2/13,
151,ENCA (Pink),32.5,7,7.5,0.36,,1/18/20,
152,CEOL (Orange),25.8,8.2,6.1,0.767,,1/25/20,
153,ENCA (Pink),25,7.8,10.2,0.35,,1/18/20,
154,SANI (Orange + Yellow),11.1,18.8,9.7,0.5,,2/14,
155,SAAP (White + Green),18.2,13.7,13.2,0.6,,2/14,
156,HEAR,21.4,19.9,18.9,0.48,,2/27,
