"","plot_number","Plant","date","height","stem","growth","alive","date_dead","elevation","aspect","slope","summer_solar_radiation","spring_solar_radiation","winter_solar_radiation","diurnal_heat","heat_load","sol_rad_aspect","terrain_ruggedness","terrain_texture","topographic_position"
"1",1,"ENCA",2020-03-01,46.1,0.37,NA,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"2",1,"ENCA",2020-07-01,42.2,0.4,-3.9,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"3",1,"ENCA",2020-11-01,35.2,0.8,-7,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"4",1,"ENCA",2021-12-01,NA,NA,NA,0,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"5",2,"CEOL",2020-03-01,25.6,0.28,NA,1,"december2021",406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"6",2,"CEOL",2020-07-01,30.4,0.41,4.8,1,"december2021",406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"7",2,"CEOL",2020-11-01,35.1,0.5,4.7,1,"december2021",406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"8",2,"CEOL",2021-12-01,NA,NA,NA,0,"december2021",406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"9",3,"ENCA",2020-03-01,23,0.4,NA,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"10",3,"ENCA",2020-07-01,21.5,0.48,-1.5,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"11",3,"ENCA",2020-11-01,17.4,1,-4.1,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"12",3,"ENCA",2021-12-01,74,1.65,56.6,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"13",4,"ENCA",2020-03-01,15,0.33,NA,1,"alive",406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"14",4,"ENCA",2020-07-01,13.6,0.45,-1.4,1,"alive",406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"15",4,"ENCA",2020-11-01,28.6,1.6,15,1,"alive",406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"16",4,"ENCA",2021-12-01,69.5,1.4,40.9,1,"alive",406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583
"17",5,"CEOL",2020-03-01,5.6,0.19,NA,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"18",5,"CEOL",2020-07-01,10.7,0.29,5.1,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"19",5,"CEOL",2020-11-01,38.4,0.9,27.7,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"20",5,"CEOL",2021-12-01,13.8,0.65,-24.6,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"21",7,"SAME",2020-03-01,20.2,0.31,NA,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,10113.53515625,7842.61376953125,4154.19287109375,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"22",7,"SAME",2020-07-01,33.1,0.41,12.9,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,10113.53515625,7842.61376953125,4154.19287109375,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"23",7,"SAME",2020-11-01,38.9,0.4,5.8,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,10113.53515625,7842.61376953125,4154.19287109375,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"24",7,"SAME",2021-12-01,NA,NA,NA,0,"december2021",403.860717773438,0.428787319770206,20.3183689117432,10113.53515625,7842.61376953125,4154.19287109375,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"25",10,"RHOV",2020-03-01,9.5,0.26,NA,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9729.3642578125,7100.3818359375,3197.28881835938,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"26",10,"RHOV",2020-07-01,13.8,0.3,4.3,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9729.3642578125,7100.3818359375,3197.28881835938,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"27",10,"RHOV",2020-11-01,20.1,0.5,6.3,1,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9729.3642578125,7100.3818359375,3197.28881835938,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"28",10,"RHOV",2021-12-01,NA,NA,NA,0,"december2021",403.860717773438,0.428787319770206,20.3183689117432,9729.3642578125,7100.3818359375,3197.28881835938,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"29",13,"HEWH",2020-03-01,23,NA,NA,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9050.974609375,7984.20654296875,5193.86767578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"30",13,"HEWH",2020-07-01,18.1,NA,-4.9,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9050.974609375,7984.20654296875,5193.86767578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"31",13,"HEWH",2020-11-01,12.2,NA,-5.9,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9050.974609375,7984.20654296875,5193.86767578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"32",13,"HEWH",2021-12-01,12.7,NA,0.5,1,"alive",403.860717773438,0.428787319770206,20.3183689117432,9050.974609375,7984.20654296875,5193.86767578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"33",14,"HEWH",2020-03-01,17,NA,NA,1,"november2020",403.860717773438,0.428787319770206,20.3183689117432,9023.3154296875,7988.27880859375,5224.38720703125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
"34",14,"HEWH",2020-07-01,15.2,NA,-1.8,1,"november2020",403.860717773438,0.428787319770206,20.3183689117432,9023.3154296875,7988.27880859375,5224.38720703125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799
