"","Plant","date","alive","elevation","aspect","slope","summer_solar_radiation","spring_solar_radiation","winter_solar_radiation","diurnal_heat","heat_load","sol_rad_aspect","terrain_ruggedness","terrain_texture","topographic_position","date_dead"
"1","ENCA",2020-03-01,1,403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"december2021"
"2","ENCA",2020-05-01,1,403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"december2021"
"3","ENCA",2020-07-01,1,403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"december2021"
"4","ENCA",2020-11-01,1,403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"december2021"
"5","ENCA",2021-12-01,0,403.860717773438,0.428787319770206,20.3183689117432,9689.3388671875,7592.90185546875,4019.9892578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"december2021"
"6","CEOL",2020-03-01,1,406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"december2021"
"7","CEOL",2020-05-01,1,406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"december2021"
"8","CEOL",2020-07-01,1,406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"december2021"
"9","CEOL",2020-11-01,1,406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"december2021"
"10","CEOL",2021-12-01,0,406.257781982422,0.539383231358986,25.5143985748291,10197.388671875,7732.98779296875,3874.07666015625,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"december2021"
"11","ENCA",2020-03-01,1,403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"12","ENCA",2020-05-01,1,403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"13","ENCA",2020-07-01,1,403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"14","ENCA",2020-11-01,1,403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"15","ENCA",2021-12-01,1,403.860717773438,0.428787319770206,20.3183689117432,9364.984375,7816.66845703125,4333.99267578125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"16","ENCA",2020-03-01,1,406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"alive"
"17","ENCA",2020-05-01,1,406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"alive"
"18","ENCA",2020-07-01,1,406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"alive"
"19","ENCA",2020-11-01,1,406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"alive"
"20","ENCA",2021-12-01,1,406.257781982422,0.539383231358986,25.5143985748291,9868.8837890625,7936.32470703125,4507.02734375,1.40932488441467,0.960384428501129,0.00132382637821138,150.681015014648,54.538200378418,3.22492384910583,"alive"
"21","CEOL",2020-03-01,1,403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"22","CEOL",2020-05-01,1,403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
"23","CEOL",2020-07-01,1,403.860717773438,0.428787319770206,20.3183689117432,9586.1669921875,7649.650390625,4030.80908203125,-0.288111805915833,0.917819321155548,0.00634939270094037,150.710891723633,55.6593017578125,8.15574359893799,"alive"
