ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
91,RHOV (White + Pink),2/11,Y,,5/7,y,,,,,,,,,
92,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
93,HEWH (White),2/11,Y,not cut properly,5/7,y,,,,,,,,,
94,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
95,HEWH (White),2/11,Y,,5/7,np,,,,,,,,,
96,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
97,SAAP (White + Green),,,,5/7,y,,,,,,,,,
98,SANI (Orange + Yellow),,,,5/7,np,,,,,,,,,
99,CEOL (Orange),2/11,Y,struggling,5/7,y,,,,,,,,,
100,SAAP (White + Green),,,,5/7,y,,,,,,,,,
101,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
102,SAME (Orange + Pink),,,,5/6,n,,,,,,,,,
103,ENCA (Pink),2/11,N,,5/6,y,,,,,,,,,
104,ADFA (Orange + Green),2/11,Y,sad,5/6,y,,,,,,,,,
105,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
106,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
107,MALA (White + Yellow),,,,5/6,n,,,,,,,,,
108,ENCA (Pink),2/11,Y,erosion on top of plant,5/6,y,,,,,,,,,
109,RHOV (White + Pink),2/11,Y,erosion,5/6,y,,,,,,,,,
110,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
111,SAAP (White + Green),,,,5/6,y,,,,,,,,,
112,HEWH (White),2/11,Y,,5/6,y,,,,,,,,,
113,ADFA (Orange + Green),2/11,Y,,5/6,n,,,,,,,,,
114,CEOL (Orange),2/11,Y,,5/6,y,,,,,,,,,
115,CEOL (Orange),2/11,Y,,5/6,y,,,,,,,,,
116,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
117,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
118,SAAP (White + Green),,,,5/6,y,,,,,,,,,
119,HEWH (White),2/11,Y,,5/6,n,,,,,,,,,
120,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
121,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
122,CEOL (Orange),,,,5/6,y,,,,,,,,,
123,SAME (Orange + Pink),,,,5/6,n,,,,,,,,,
124,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
125,CEOL (Orange),2/11,Y,,5/6,n,,,,,,,,,
126,SANI (Orange + Yellow),,,,5/6,n,,,,,,,,,
127,CEOL (Orange),2/11,N,"no plant, gopher",5/6,y,,,,,,,,,
128,ENCA (Pink),2/11,Y,sad,5/6,n,,,,,,,,,
129,ENCA (Pink),2/11,Y,sad,5/6,y,,,,,,,,,
130,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
131,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
132,RHOV (White + Pink),2/11,Y,,5/6,y,MAFA volunteer in plot,,,,,,,,
133,HEWH (White),2/11,Y,,5/6,y,,,,,,,,,
134,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
135,SAAP (White + Green),,,,5/6,y,,,,,,,,,
136,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
137,SAAP (White + Green),,,,5/6,y,,,,,,,,,
138,ADFA (Orange + Green),2/11,Y,sad,5/6,n,,,,,,,,,
139,ADFA (Orange + Green),2/11,Y,sad,5/6,y,,,,,,,,,
140,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
141,HEWH (White),2/11,Y,,5/6,y,,,,,,,,,
142,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
143,ENCA (Pink),2/11,Y,,5/6,n,,,,,,,,,
144,HEWH (White),2/11,Y,,5/6,n,,,,,,,,,
145,CEOL (Orange),,,,5/6,n,,,,,,,,,
146,CEOL (Orange),,,,5/6,n,gopher,,,,,,,,
147,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
148,MALA (White + Yellow),,,,5/6,n,,,,,,,,,
149,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
150,MALA (White + Yellow),,,,5/6,n,,,,,,,,,
151,ENCA (Pink),2/11,Y,,5/6,n,,,,,,,,,
152,CEOL (Orange),2/11,Y,,5/6,y,,,,,,,,,
153,ENCA (Pink),2/11,Y,,5/6,y,,,,,,,,,
154,SANI (Orange + Yellow),,,,5/6,n,gopher,,,,,,,,
155,SAAP (White + Green),,,,5/6,y,,,,,,,,,
156,HEAR,,,,5/6,y,,,,,,,,,
157,CEOL (Orange),,,,5/6,n,,,,,,,,,
158,SAAP (White + Green),,,,5/6,n,,,,,,,,,
159,ENCA (Pink),2/11,Y,,5/6,n,,,,,,,,,
160,HEWH (White),,,,5/6,y,,,,,,,,,
161,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
162,HEWH (White),,,,5/6,y,,,,,,,,,
163,ADFA (Orange + Green),2/11,Y,,5/6,y,,,,,,,,,
164,HEWH (White),2/11,N,,5/6,y,,,,,,,,,
165,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
166,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
167,HEWH (White),2/11,Y,,5/6,y,,,,,,,,,
168,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
169,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
170,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
171,RHOV (White + Pink),2/11,Y,,5/6,y,,,,,,,,,
172,HEWH (White),2/11,N,gopher,5/7,np,,,,,,,,,
173,SAME (Orange + Pink),,,,5/7,np,,,,,,,,,
174,ADFA (Orange + Green),2/11,Y,,5/6,y,,,,,,,,,
175,HEWH (White),2/11,Y,was buried,5/7,n,,,,,,,,,
176,HEWH (White),2/13,N,,5/7,y,,,,,,,,,
177,HEWH (White),2/11,Y,,5/6,y,,,,,,,,,
178,CEOL (Orange),2/11,Y,,5/7,y,,,,,,,,,
179,SANI (Orange + Yellow),,,,5/7,np,,,,,,,,,
180,RHOV (White + Pink),2/11,Y,erosion,5/6,y,,,,,,,,,
181,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
182,HEWH (White),2/13,Y,,5/7,y,,,,,,,,,
183,ADFA (Orange + Green),2/11,Y,,5/6,y,,,,,,,,,
184,RHOV (White + Pink),2/11,Y,,5/7,y,,,,,,,,,
185,ENCA (Pink),2/11,Y,"crossed out ENCA, made it RHOV",5/7,y,,,,,,,,,
186,HEWH (White),2/11,Y,,5/7,np,,,,,,,,,
187,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
188,HEWH (White),2/13,Y,,5/7,y,,,,,,,,,
189,CEOL (Orange),2/13,Y,,5/7,np,,,,,,,,,
