ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
415,ENCA (Pink),,,np,5/8,y,,,,,,,,,
416,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
417,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
418,ADFA (Orange + Green),2-11,Y,,5/8,y,,,,,,,,,
419,ENCA (Pink),2-11,Y,,5/6,y,flower,,,,,,,,
420,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
421,CEOL (Orange),,,np,5/6,y,,,,,,,,,
422,ENCA (Pink),2-11,Y,,5/6,y,,,,,,,,,
423,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
424,CEOL (Orange),,,np,5/8,y,,,,,,,,,
425,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
426,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
427,CEOL (Orange),,,np,5/6,y,,,,,,,,,
428,ENCA (Pink),2-11,Y,,5/6,y,,,,,,,,,
429,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
430,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
431,CEOL (Orange),,,np,5/6,y,,,,,,,,,
432,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
433,CEOL (Orange),,,np,5/6,np,,,,,,,,,
434,CEOL (Orange),,,np,5/6,np,,,,,,,,,
435,HEAR,,,,5/6,y,,,,,,,,,
436,MALA (White + Yellow),,,,5/22,y,,,,,,,,,
437,MALA (White + Yellow),,,,5/7,n,,,,,,,,,
438,HEWH (White),,,np,5/7,y,,,,,,,,,
439,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
440,HEWH (White),,,np,5/7,y,gopher,,,,,,,,
441,SAAP (White + Green),,,,5/7,y,,,,,,,,,
442,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
443,ENCA (Pink),2-11,Y,barely alive,5/7,y,,,,,,,,,
444,HEWH (White),2-11,Y,,5/6,np,,,,,,,,,
445,HEWH (White),2-11,Y,wilty,5/6,np,,,,,,,,,
446,RHOV (White + Pink),2-11,Y,,5/22,y,,,,,,,,,
447,ADFA (Orange + Green),,,np,5/6,y,,,,,,,,,
448,HEWH (White),2-11,N,,5/6,np,,,,,,,,,
449,MALA (White + Yellow),,,,5/6,np,,,,,,,,,
450,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
451,ENCA (Pink),,,np,5/7,y,,,,,,,,,
452,RHOV (White + Pink),,,np,5/7,y,,,,,,,,,
453,CEOL (Orange),,,np,5/7,y,,,,,,,,,
454,ENCA (Pink),2-11,N,,5/7,y,,,,,,,,,
455,ENCA (Pink),2-11,N,,5/7,y,,,,,,,,,
456,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
457,SAAP (White + Green),,,,5/22,y,,,,,,,,,
458,CEOL (Orange),,,np,5/7,y,,,,,,,,,
459,HEWH (White),,,np,5/7,y,,,,,,,,,
460,RHOV (White + Pink),2-11,Y,sad,5/22,y,,,,,,,,,
461,ENCA (Pink),,,np,5/6,y,,,,,,,,,
462,CEOL (Orange),,,np,5/6,y,,,,,,,,,
463,CEOL (Orange),,,np,5/6,y,,,,,,,,,
464,ENCA (Pink),,,,5/22,y,,,,,,,,,
465,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
466,SAAP (White + Green),,,,5/22,y,,,,,,,,,
467,RHOV (White + Pink),,,,5/22,y,,,,,,,,,
468,CEOL (Orange),,,,5/22,y,,,,,,,,,
469,ENCA (Pink),,,,5/22,y,,,,,,,,,
470,ENCA (Pink),,,,5/6,y,,,,,,,,,
471,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
472,ENCA (Pink),,,,5/7,y,,,,,,,,,
473,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
474,CEOL (Orange),,,np,5/7,np,,,,,,,,,
475,HEWH (White),,,np,5/7,y,,,,,,,,,
476,ENCA (Pink),,,np,5/7,y,,,,,,,,,
477,SAME (Orange + Pink),,,,5/22,np,gopher,,,,,,,,
478,CEOL (Orange),,,,5/7,n,,,,,,,,,
479,SAAP (White + Green),,,,5/6,np,,,,,,,,,
480,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
481,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
482,RHOV (White + Pink),,,,5/22,y,gopher activity,,,,,,,,
483,CEOL (Orange),,,,5/6,y,,,,,,,,,
484,SAME (Orange + Pink),,,,5/22,y,,,,,,,,,
485,HEWH (White),,,,5/22,y,,,,,,,,,
486,ENCA (Pink),,,,5/22,y,,,,,,,,,
487,HEWH (White),,,,5/6,y,,,,,,,,,
488,ADFA (Orange + Green),,,,5/6,y,,,,,,,,,
489,SAAP (White + Green),,,,5/6,y,,,,,,,,,
490,SAAP (White + Green),,,,5/6,n,,,,,,,,,
491,MALA (White + Yellow),,,,5/6,n,,,,,,,,,
492,CEOL (Orange),,,,5/6,np,,,,,,,,,
493,ENCA (Pink),,,,5/6,y,,,,,,,,,
494,HEWH (White),,,,5/6,y,,,,,,,,,
495,SAAP (White + Green),,,,5/6,y,,,,,,,,,
496,HEWH (White),,,,5/6,y,,,,,,,,,
497,CEOL (Orange),,,,5/22,y,,,,,,,,,
498,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
499,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
500,CEOL (Orange),,,,5/7,y,,,,,,,,,
501,CEOL (Orange),,,np,5/8,y,,,,,,,,,
502,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
503,RHOV (White + Pink),2-11,Y,,5/8,y,,,,,,,,,
504,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
505,SAAP (White + Green),,,,5/8,y,,,,,,,,,
506,CEOL (Orange),,,np,5/8,y,,,,,,,,,
507,RHOV (White + Pink),2-11,Y,,5/8,y,,,,,,,,,
508,CEOL (Orange),,,np,5/8,y,,,,,,,,,
509,HEAR,,,,5/8,y,,,,,,,,,
510,ENCA (Pink),2-11,N,,5/8,y,,,,,,,,,
511,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
512,ENCA (Pink),2-11,Y,,5/8,y,,,,,,,,,
513,SANI (Orange + Yellow),,,,5/8,n,,,,,,,,,
514,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
515,HEWH (White),2-11,Y,,5/8,y,,,,,,,,,
516,SAAP (White + Green),,,,5/8,y,,,,,,,,,
517,RHOV (White + Pink),,,np,5/8,y,,,,,,,,,
518,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
519,CEOL (Orange),2-11,Y,,5/6,y,,,,,,,,,
520,SAME (Orange + Pink),,,,5/22,y,,,,,,,,,
521,ENCA (Pink),2-11,Y,,5/6,y,,,,,,,,,
522,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
523,ENCA (Pink),2-11,Y,,5/6,y,,,,,,,,,
524,CEOL (Orange),,,np,5/6,y,,,,,,,,,
525,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
526,CEOL (Orange),2-11,Y,wilty,5/6,y,,,,,,,,,
527,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
528,CEOL (Orange),2-11,Y,,5/6,n,,,,,,,,,
529,CEOL (Orange),2-11,Y,,5/6,y,,,,,,,,,
530,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
531,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
532,CEOL (Orange),2-11,Y,,5/6,y,,,,,,,,,
533,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
534,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
535,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
536,RHOV (White + Pink),2-11,Y,,5/22,y,gopher,,,,,,,,
537,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
538,CEOL (Orange),,,,5/22,y,,,,,,,,,
539,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
540,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
541,CEOL (Orange),,,,5/7,np,,,,,,,,,
542,CEOL (Orange),,,,5/7,y,gopher,,,,,,,,
543,RHOV (White + Pink),2-11,Y,,5/7,np,,,,,,,,,
544,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
545,SAAP (White + Green),,,,5/7,y,,,,,,,,,
546,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
547,ENCA (Pink),,,,5/22,y,,,,,,,,,
548,ADFA (Orange + Green),2-11,Y,,5/7,y,,,,,,,,,
549,CEOL (Orange),,,,5/7,y,,,,,,,,,
550,ENCA (Pink),2-11,Y,,5/7,y,,,,,,,,,
551,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
552,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
553,CEOL (Orange),,,,5/6,y,,,,,,,,,
554,HEWH (White),2-11,Y,,5/6,y,,,,,,,,,
555,ENCA (Pink),2-11,Y,,5/6,y,,,,,,,,,
556,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
557,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
558,ADFA (Orange + Green),,,,5/7,y,,,,,,,,,
559,MALA (White + Yellow),,,,5/22,y,,,,,,,,,
560,CEOL (Orange),,,,5/7,y,,,,,,,,,
561,CEOL (Orange),,,,5/7,y,,,,,,,,,
562,ENCA (Pink),2-11,Y,,5/7,n,,,,,,,,,
563,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
564,HEWH (White),,,,5/7,np,,,,,,,,,
565,HEWH (White),,,,5/7,y,,,,,,,,,
566,CEOL (Orange),,,,5/7,y,,,,,,,,,
567,ENCA (Pink),,,,5/8,y,,,,,,,,,
568,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
569,HEWH (White),,,,5/8,y,,,,,,,,,
570,ENCA (Pink),,,,5/7,np,,,,,,,,,
571,ADFA (Orange + Green),2-11,Y,,5/7,n,,,,,,,,,
572,HEWH (White),2-11,Y,,5/7,y,,,,,,,,,
573,ADFA (Orange + Green),2-11,Y,,5/22,y,,,,,,,,,
574,SAAP (White + Green),,,,5/7,y,,,,,,,,,
575,HEWH (White),,,np,5/7,y,,,,,,,,,
576,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
577,HEWH (White),2-11,Y,,5/22,np,,,,,,,,,
578,CEOL (Orange),,,,5/8,n,,,,,,,,,
579,CEOL (Orange),,,,5/7,y,,,,,,,,,
580,ENCA (Pink),,,,5/8,np,,,,,,,,,
581,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
582,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
583,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
584,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
585,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
586,HEWH (White),,,,5/7,y,,,,,,,,,
587,CEOL (Orange),,,,5/7,y,,,,,,,,,
588,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
589,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
590,ENCA (Pink),,,,5/7,y,,,,,,,,,
591,CEOL (Orange),,,,5/7,y,,,,,,,,,
592,ADFA (Orange + Green),,,,5/22,y,,,,,,,,,
593,CEOL (Orange),,,,5/8,y,,,,,,,,,
594,CEOL (Orange),2-11,Y,,5/7,y,,,,,,,,,
595,ENCA (Pink),,,,5/7,np,,,,,,,,,
596,ADFA (Orange + Green),2-11,Y,,5/7,y,,,,,,,,,
597,HEWH (White),,,np,5/22,y,,,,,,,,,
598,RHOV (White + Pink),,,np,5/6,y,,,,,,,,,
599,SAME (Orange + Pink),,,,5/6,np,,,,,,,,,
600,CEOL (Orange),,,,5/22,np,,,,,,,,,
601,HEWH (White),,,np,5/7,y,,,,,,,,,
602,SAAP (White + Green),,,,5/7,np,,,,,,,,,
603,CEOL (Orange),,,np,5/6,y,,,,,,,,,
604,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
605,RHOV (White + Pink),2-11,Y,,5/22,np,gopher,,,,,,,,
606,SAAP (White + Green),,,,5/7,y,,,,,,,,,
607,RHOV (White + Pink),,,np,5/7,y,,,,,,,,,
608,ADFA (Orange + Green),,,,5/7,y,,,,,,,,,
609,CEOL (Orange),,,,5/7,n,,,,,,,,,
610,MALA (White + Yellow),,,,5/22,np,gopher,,,,,,,,
611,CEOL (Orange),,,,5/7,y,,,,,,,,,
612,RHOV (White + Pink),2-11,Y,,5/7,y,,,,,,,,,
613,RHOV (White + Pink),2-11,Y,crispy,5/6,n,,,,,,,,,
614,CEOL (Orange),,,,5/6,y,,,,,,,,,
615,HEWH (White),,,,5/6,y,,,,,,,,,
616,SANI (Orange + Yellow),,,,5/22,n,,,,,,,,,
617,SAAP (White + Green),,,,5/6,y,,,,,,,,,
618,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
619,ENCA (Pink),,,,5/6,y,,,,,,,,,
620,HEWH (White),,,,5/6,y,,,,,,,,,
621,ENCA (Pink),,,,5/15,y,,,,,,,,,
622,SANI (Orange + Yellow),,,,5/15,y,,,,,,,,,
623,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
624,HEWH (White),,,,5/8,y,,,,,,,,,
625,CEOL (Orange),,,,5/8,y,,,,,,,,,
626,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
627,MALA (White + Yellow),,,,5/15,n,,,,,,,,,
628,SANI (Orange + Yellow),,,,5/15,np,gopher,,,,,,,,
629,HEWH (White),,,,5/8,y,,,,,,,,,
630,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
631,RHOV (White + Pink),,,,5/8,np,,,,,,,,,
632,ENCA (Pink),,,,5/8,np,gopher,,,,,,,,
633,CEOL (Orange),,,,5/6,y,,,,,,,,,
634,CEOL (Orange),,,,5/6,y,,,,,,,,,
635,ENCA (Pink),,,,5/6,y,,,,,,,,,
636,ENCA (Pink),,,,5/6,y,gopher,,,,,,,,
637,ENCA (Pink),,,,5/6,y,,,,,,,,,
638,CEOL (Orange),,,,5/6,np,,,,,,,,,
639,SAAP (White + Green),,,,5/6,y,,,,,,,,,
640,CEOL (Orange),,,,5/6,y,,,,,,,,,
641,CEOL (Orange),,,,5/6,np,,,,,,,,,
642,ENCA (Pink),,,,5/6,np,,,,,,,,,
643,RHOV (White + Pink),,,,5/6,n,,,,,,,,,
644,CEOL (Orange),,,,5/6,y,,,,,,,,,
645,HEWH (White),,,,5/6,np,,,,,,,,,
646,RHOV (White + Pink),,,,5/6,n,,,,,,,,,
647,MALA (White + Yellow),,,,5/6,y,,,,,,,,,
648,RHOV (White + Pink),,,,5/22,y,,,,,,,,,
649,CEOL (Orange),,,,5/6,y,,,,,,,,,
650,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
651,HEWH (White),,,,5/6,y,,,,,,,,,
652,HEWH (White),,,,5/6,y,,,,,,,,,
653,CEOL (Orange),,,,5/6,np,,,,,,,,,
654,SAME (Orange + Pink),,,,5/6,y,,,,,,,,,
655,HEWH (White),,,,5/6,y,,,,,,,,,
656,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
657,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
658,ENCA (Pink),,,,5/22,y,,,,,,,,,
659,ADFA (Orange + Green),,,,5/6,y,gopher activity,,,,,,,,
660,CEOL (Orange),,,,5/6,y,,,,,,,,,
661,CEOL (Orange),,,,5/6,y,,,,,,,,,
662,ADFA (Orange + Green),,,,5/6,y,,,,,,,,,
663,MALA (White + Yellow),,,,5/22,y,,,,,,,,,
664,ENCA (Pink),,,,5/6,y,,,,,,,,,
665,ENCA (Pink),,,,5/22,y,,,,,,,,,
666,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
667,CEOL (Orange),,,,5/8,y,,,,,,,,,
668,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
669,ADFA (Orange + Green),,,,5/15,y,,,,,,,,,
670,SAME (Orange + Pink),,,,5/15,y,,,,,,,,,
671,CEOL (Orange),,,,5/15,y,,,,,,,,,
672,MALA (White + Yellow),,,,5/8,n,,,,,,,,,
673,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
674,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
675,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
676,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
677,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
678,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
679,HEWH (White),,,,5/8,np,,,,,,,,,
680,CEOL (Orange),,,,5/8,y,,,,,,,,,
681,SANI (Orange + Yellow),,,,5/6,y,,,,,,,,,
682,HEWH (White),,,,5/6,y,,,,,,,,,
683,HEWH (White),,,,5/6,y,,,,,,,,,
684,HEWH (White),,,,5/8,y,,,,,,,,,
685,HEWH (White),,,,5/8,np,,,,,,,,,
686,ENCA (Pink),,,,5/15,y,,,,,,,,,
687,CEOL (Orange),,,,5/8,y,,,,,,,,,
688,ENCA (Pink),,,,5/15,y,no number on plot (below catchment 2),,,,,,,,
689,ENCA (Pink),,,,5/15,y,,,,,,,,,
690,HEWH (White),,,,5/8,y,,,,,,,,,
691,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
692,CEOL (Orange),,,,5/8,np,,,,,,,,,
693,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
694,HEAR,,,,5/8,n,,,,,,,,,
695,CEOL (Orange),,,,5/8,np,,,,,,,,,
696,CEOL (Orange),,,,5/8,n,,,,,,,,,
697,HEWH (White),,,,5/22,np,gopher,,,,,,,,
698,ENCA (Pink),,,,5/8,n,,,,,,,,,
699,RHOV (White + Pink),,,,5/8,np,gopher,,,,,,,,
700,RHOV (White + Pink),,,,5/8,n,,,,,,,,,
701,CEOL (Orange),,,,5/15,np,gopher,,,,,,,,
702,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
703,ENCA (Pink),,,,5/7,y,,,,,,,,,
704,RHOV (White + Pink),2-11,Y,,5/6,y,,,,,,,,,
705,HEWH (White),,,,5/6,y,,,,,,,,,
706,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
707,SAAP (White + Green),,,,5/6,np,,,,,,,,,
708,SAAP (White + Green),,,,5/6,y,,,,,,,,,
709,ENCA (Pink),,,,5/6,y,,,,,,,,,
710,CEOL (Orange),,,,5/7,np,,,,,,,,,
711,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
712,HEWH (White),,,,5/7,np,gopher,,,,,,,,
713,ENCA (Pink),,,,5/7,y,,,,,,,,,
714,RHOV (White + Pink),,,,5/7,np,gopher,,,,,,,,
715,ENCA (Pink),,,,5/7,n,,,,,,,,,
716,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
717,CEOL (Orange),,,,5/7,y,,,,,,,,,
718,SAAP (White + Green),,,,5/7,y,,,,,,,,,
719,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
720,CEOL (Orange),,,,5/7,y,,,,,,,,,
721,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
722,CEOL (Orange),,,,5/7,n,,,,,,,,,
723,RHOV (White + Pink),,,,5/6,y,gopher activity,,,,,,,,
724,ENCA (Pink),,,,5/6,y,,,,,,,,,
725,CEOL (Orange),,,,5/6,np,gopher,,,,,,,,
726,CEOL (Orange),,,,5/6,y,,,,,,,,,
727,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
728,CEOL (Orange),,,,5/6,y,,,,,,,,,
729,HEWH (White),,,,5/22,y,,,,,,,,,
730,ENCA (Pink),,,,5/6,y,,,,,,,,,
731,HEWH (White),,,,5/6,y,,,,,,,,,
732,CEOL (Orange),,,,5/6,y,,,,,,,,,
733,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
734,RHOV (White + Pink),,,,5/6,y,,,,,,,,,
735,SANI (Orange + Yellow),,,,5/22,np,,,,,,,,,
736,ENCA (Pink),,,,5/8,y,,,,,,,,,
737,RHOV (White + Pink),,,,5/22,n,,,,,,,,,
738,CEOL (Orange),,,,5/7,y,,,,,,,,,
739,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
740,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
741,ENCA (Pink),,,,5/15,np,,,,,,,,,
742,HEWH (White),,,,5/15,y,,,,,,,,,
743,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
744,CEOL (Orange),,,,5/15,y,,,,,,,,,
745,CEOL (Orange),,,,5/8,y,,,,,,,,,
746,MALA (White + Yellow),,,,5/8,n,gopher activity,,,,,,,,
747,CEOL (Orange),,,,5/8,np,,,,,,,,,
748,SAAP (White + Green),,,,5/15,np,,,,,,,,,
749,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
750,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
751,ENCA (Pink),,,,5/8,y,,,,,,,,,
752,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
753,CEOL (Orange),,,,5/6,y,,,,,,,,,
754,ENCA (Pink),,,,5/6,y,,,,,,,,,
755,SAAP (White + Green),,,,5/6,np,,,,,,,,,
756,SAAP (White + Green),,,,5/6,y,,,,,,,,,
757,CEOL (Orange),,,,5/15,np,,,,,,,,,
758,HEWH (White),,,,5/6,y,gopher activity,,,,,,,,
759,SAAP (White + Green),,,,5/6,y,,,,,,,,,
760,ENCA (Pink),,,,5/6,y,,,,,,,,,
761,HEWH (White),,,,5/6,np,,,,,,,,,
762,HEWH (White),,,,5/8,y,gopher activity,,,,,,,,
763,SANI (Orange + Yellow),,,,5/8,y,,,,,,,,,
764,MALA (White + Yellow),,,,5/15,y,,,,,,,,,
765,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
766,CEOL (Orange),,,,5/8,np,,,,,,,,,
767,HEWH (White),,,,5/8,np,,,,,,,,,
768,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
769,CEOL (Orange),,,,5/8,np,,,,,,,,,
770,CEOL (Orange),,,,5/8,y,,,,,,,,,
771,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
772,SAAP (White + Green),,,,5/8,y,,,,,,,,,
773,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
774,CEOL (Orange),,,,5/8,y,,,,,,,,,
775,HEWH (White),,,,5/8,np,,,,,,,,,
776,CEOL (Orange),,,,5/15,np,,,,,,,,,
777,CEOL (Orange),,,,5/15,np,gopher,,,,,,,,
778,CEOL (Orange),,,,5/6,np,,,,,,,,,
779,ADFA (Orange + Green),,,,5/6,y,,,,,,,,,
780,ADFA (Orange + Green),,,,5/6,y,,,,,,,,,
781,HEWH (White),,,,5/6,y,,,,,,,,,
782,CEOL (Orange),,,,5/6,y,,,,,,,,,
783,MALA (White + Yellow),,,,5/6,n,,,,,,,,,
784,ENCA (Pink),,,,5/6,y,,,,,,,,,
785,SAAP (White + Green),,,,5/6,np,,,,,,,,,
786,ADFA (Orange + Green),,,,5/15,y,,,,,,,,,
787,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
788,HEWH (White),,,,5/15,y,,,,,,,,,
789,CEOL (Orange),,,,5/15,y,,,,,,,,,
790,SAAP (White + Green),,,,5/15,np,,,,,,,,,
791,CEOL (Orange),,,,5/8,y,,,,,,,,,
792,CEOL (Orange),,,,5/8,np,gopher,,,,,,,,
793,HEWH (White),,,,5/8,y,,,,,,,,,
794,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
795,ENCA (Pink),,,,5/8,y,,,,,,,,,
796,ENCA (Pink),,,,5/8,y,,,,,,,,,
797,CEOL (Orange),,,,5/8,y,,,,,,,,,
798,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
799,MALA (White + Yellow),,,,5/8,n,,,,,,,,,
800,ENCA (Pink),,,,5/8,y,,,,,,,,,
801,HEWH (White),2-11,Y,,5/8,y,,,,,,,,,
802,HEWH (White),2-11,N,"no plant, gopher",5/22,np,,,,,,,,,
803,ENCA (Pink),2-11,N,no plant ,5/15,np,,,,,,,,,
804,MALA (White + Yellow),,,,,,,,,,,,,,
805,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
806,SAAP (White + Green),,,,5/8,y,,,,,,,,,
807,RHOV (White + Pink),,,,5/15,n,,,,,,,,,
808,HEWH (White),,,,5/15,y,very sad,,,,,,,,
809,CEOL (Orange),,,,5/15,y,,,,,,,,,
810,ENCA (Pink),,,,5/15,y,,,,,,,,,
811,SAME (Orange + Pink),,,,5/15,y,,,,,,,,,
812,HEWH (White),,,,5/15,y,,,,,,,,,
813,SAAP (White + Green),,,,5/15,y,,,,,,,,,
814,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
815,MALA (White + Yellow),,,,5/8,np,,,,,,,,,
816,CEOL (Orange),,,,5/8,y,,,,,,,,,
817,HEWH (White),,,,5/8,np,,,,,,,,,
818,HEWH (White),,,,5/8,np,gopher,,,,,,,,
819,ADFA (Orange + Green),,,,5/8,y,,,,,,,,,
820,SANI (Orange + Yellow),,,,5/15,y,,,,,,,,,
821,HEWH (White),,,,5/15,y,,,,,,,,,
822,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
823,MALA (White + Yellow),,,,5/15,n,,,,,,,,,
824,ENCA (Pink),,,,5/15,y,,,,,,,,,
825,ENCA (Pink),,,,5/15,y,,,,,,,,,
826,ADFA (Orange + Green),,,,5/15,y,,,,,,,,,
827,ENCA (Pink),,,,5/15,y,,,,,,,,,
828,SANI (Orange + Yellow),,,,5/15,np,,,,,,,,,
829,HEWH (White),,,,5/8,y,,,,,,,,,
830,SAAP (White + Green),,,,,,,,,,,,,,
831,SAAP (White + Green),,,,5/8,np,,,,,,,,,
832,ENCA (Pink),,,,5/15,y,,,,,,,,,
833,MALA (White + Yellow),,,,5/15,n,,,,,,,,,
834,HEWH (White),,,,5/15,y,,,,,,,,,
835,CEOL (Orange),,,,5/15,y,,,,,,,,,
836,HEWH (White),,,,5/15,y,,,,,,,,,
837,HEWH (White),,,,5/15,y,,,,,,,,,
838,SAAP (White + Green),,,,5/15,np,,,,,,,,,
839,CEOL (Orange),,,,5/15,y,,,,,,,,,
840,RHOV (White + Pink),,,,5/15,np,,,,,,,,,
841,MALA (White + Yellow),,,,5/22,y,almost under catchment 2,,,,,,,,
842,ENCA (Pink),,,,5/15,y,,,,,,,,,
843,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
844,RHOV (White + Pink),,,,5/22,y,,,,,,,,,
845,HEWH (White),,,,5/15,y,,,,,,,,,
846,MALA (White + Yellow),,,,5/8,y,,,,,,,,,
847,CEOL (Orange),,,,5/15,np,,,,,,,,,
848,CEOL (Orange),,,,5/15,y,,,,,,,,,
849,HEWH (White),,,,5/15,y,,,,,,,,,
850,SANI (Orange + Yellow),,,,5/15,y,,,,,,,,,
851,HEWH (White),,,,5/15,y,,,,,,,,,
852,RHOV (White + Pink),,,,5/15,y,,,,,,,,,
853,SAAP (White + Green),,,,5/15,y,,,,,,,,,
854,SAME (Orange + Pink),,,,5/15,y,,,,,,,,,
855,CEOL (Orange),,,,5/15,np,,,,,,,,,
856,ENCA (Pink),,,,5/15,np,,,,,,,,,
857,ENCA (Pink),,,,5/15,y,,,,,,,,,
858,SAME (Orange + Pink),,,,5/15,y,,,,,,,,,
859,HEAR,,,,5/15,n,,,,,,,,,
860,ENCA (Pink),,,,5/15,y,,,,,,,,,
861,RHOV (White + Pink),,,,5/8,y,,,,,,,,,
862,SAME (Orange + Pink),,,,5/22,y,,,,,,,,,
863,ENCA (Pink),,,,5/15,y,,,,,,,,,
864,HEWH (White),,,,5/15,y,,,,,,,,,
865,HEWH (White),,,,5/15,y,,,,,,,,,
866,SANI (Orange + Yellow),,,,5/15,n,,,,,,,,,
