Plot_Number, Date, Time, Moisture %
475,4/10/2020,12:49:16,12
475,4/10/2020,12:50:22,7.9
475,4/10/2020,12:51:05,16
475,4/10/2020,12:51:41,10.9
493,4/10/2020,13:02:26,7.6
493,4/10/2020,13:03:23,10.2
493,4/10/2020,13:04:02,9.6
498,4/10/2020,13:05:30,12.2
498,4/10/2020,13:06:54,10.4
498,4/10/2020,13:07:30,8.4
519,4/10/2020,12:45:02,12.5
519,4/10/2020,12:46:00,11
519,4/10/2020,12:46:37,10.2
548,4/10/2020,13:53:26,17.3
548,4/10/2020,13:54:04,9.3
548,4/10/2020,13:54:43,13.5
565,4/10/2020,13:56:32,9.4
565,4/10/2020,13:57:11,7.1
565,4/10/2020,13:58:06,7.8
595,4/10/2020,14:00:09,7.8
595,4/10/2020,14:00:50,7.8
595,4/10/2020,14:01:21,13.2
614,4/10/2020,14:05:24,11.8
614,4/10/2020,14:06:10,9.2
614,4/10/2020,14:06:43,12.3
624,4/10/2020,14:11:51,9.6
624,4/10/2020,14:13:22,7.9
624,4/10/2020,14:13:54,8.5
633,4/10/2020,14:09:13,13.6
633,4/10/2020,14:09:56,10
633,4/10/2020,14:10:21,9.9
643,4/10/2020,14:16:03,9
643,4/10/2020,14:16:46,14
643,4/10/2020,14:17:14,8
672,4/10/2020,14:46:35,16
672,4/10/2020,14:47:31,13.6
672,4/10/2020,14:48:16,9.3
702,4/10/2020,14:02:28,9.1
702,4/10/2020,14:03:07,8.5
702,4/10/2020,14:03:44,7.7
726,4/10/2020,14:26:16,10
726,4/10/2020,14:26:48,11.1
726,4/10/2020,14:27:15,10.7
740,4/10/2020,14:29:28,9
740,4/10/2020,14:30:06,5.9
740,4/10/2020,14:30:49,12.9
740,4/10/2020,14:31:31,8
764,4/10/2020,14:32:50,9.3
764,4/10/2020,14:33:46,12.7
764,4/10/2020,14:34:27,5.8
783,4/10/2020,14:19:39,11.7
783,4/10/2020,14:20:13,7.7
783,4/10/2020,14:20:55,10.4
808,4/10/2020,14:37:00,11.2
808,4/10/2020,14:37:30,8.1
808,4/10/2020,14:38:13,13.1
820,4/10/2020,14:49:58,12.5
820,4/10/2020,14:50:29,6.6
820,4/10/2020,14:51:06,9.1
839,4/10/2020,14:57:17,6.3
839,4/10/2020,14:57:53,2.2
839,4/10/2020,14:58:27,7.5
845,4/10/2020,15:18:26,10.9
845,4/10/2020,15:19:01,8
845,4/10/2020,15:19:41,8.3
857,4/10/2020,15:01:42,9
857,4/10/2020,15:02:33,9.7
857,4/10/2020,15:03:09,6.3
860,4/10/2020,14:52:34,4.6
860,4/10/2020,14:53:25,8.1
860,4/10/2020,14:53:51,11.1
860,4/10/2020,14:55:06,4
870,4/10/2020,15:15:17,6.4
870,4/10/2020,15:15:55,13.4
870,4/10/2020,15:16:24,13.7
878,4/10/2020,15:26:57,11.6
878,4/10/2020,15:27:35,7.2
878,4/10/2020,15:28:07,12.5
883,4/10/2020,15:12:39,18.4
883,4/10/2020,15:13:25,13.5
883,4/10/2020,15:13:56,16.8
918,4/10/2020,15:23:31,12.8
918,4/10/2020,15:24:19,15.6
918,4/10/2020,15:25:18,16.9
954,4/10/2020,15:41:36,15.4
954,4/10/2020,15:42:23,15.9
954,4/10/2020,15:43:03,14.6
971,4/10/2020,15:38:04,9
971,4/10/2020,15:38:42,7.2
971,4/10/2020,15:39:12,8.5
979,4/10/2020,15:31:38,6.9
979,4/10/2020,15:32:08,5.4
979,4/10/2020,15:32:37,4.4
990,4/10/2020,15:34:27,5.4
990,4/10/2020,15:35:02,10.2
990,4/10/2020,15:35:46,6.7
1026,4/10/2020,16:17:19,20.7
1026,4/10/2020,16:18:15,22
1026,4/10/2020,16:19:03,20.6
1033,4/10/2020,16:12:41,16.5
1033,4/10/2020,16:13:24,13.2
1033,4/10/2020,16:13:58,16.4
1040,4/10/2020,16:22:29,12.8
1040,4/10/2020,16:22:59,17.7
1040,4/10/2020,16:23:32,12.9
1064,4/10/2020,16:25:35,7.1
1064,4/10/2020,16:26:03,15.6
1064,4/10/2020,16:26:34,11.9
1064,4/10/2020,16:27:17,11.1
1087,4/10/2020,16:33:09,8.3
1087,4/10/2020,16:33:47,10.3
1087,4/10/2020,16:34:30,15.9
1096,4/10/2020,16:28:37,21.2
1096,4/10/2020,16:29:08,18.1
1096,4/10/2020,16:29:49,8.3
1096,4/10/2020,16:30:22,15.6
1155,4/10/2020,17:05:10,12.1
1155,4/10/2020,17:05:38,10.8
1155,4/10/2020,17:06:17,11.6
1164,4/10/2020,17:02:52,13
1164,4/10/2020,17:03:21,14.3
1164,4/10/2020,17:03:54,10.9
1167,4/10/2020,17:07:55,10
1167,4/10/2020,17:08:39,11.1
1167,4/10/2020,17:09:19,13.5
1177,4/10/2020,17:11:23,3.9
1177,4/10/2020,17:11:56,8.1
1177,4/10/2020,17:12:30,7.4
1182,4/10/2020,16:41:59,15.9
1182,4/10/2020,16:42:58,19.7
1182,4/10/2020,16:43:33,12.1
1188,4/10/2020,16:59:28,14.5
1188,4/10/2020,17:00:11,13.8
1188,4/10/2020,17:00:38,19.9
1190,4/10/2020,16:57:12,17.3
1190,4/10/2020,16:57:44,11.8
1190,4/10/2020,16:58:29,15.3
1195,4/10/2020,16:54:00,10.8
1195,4/10/2020,16:54:30,9.8
1195,4/10/2020,16:55:00,13.1
1219,4/10/2020,16:04:05,7.8
1219,4/10/2020,16:04:38,2
1219,4/10/2020,16:05:11,12.4
1219,4/10/2020,16:05:45,7.8
1232,4/10/2020,16:48:23,10.1
1232,4/10/2020,16:48:56,10.1
1232,4/10/2020,16:49:36,9
1234,4/10/2020,16:45:23,15.5
1234,4/10/2020,16:46:01,7.7
1234,4/10/2020,16:46:39,16.1
1257,4/10/2020,16:08:09,15.4
1257,4/10/2020,16:08:45,13.6
1257,4/10/2020,16:09:18,9.9
1349,4/10/2020,17:15:09,17.3
1349,4/10/2020,17:15:46,16
1367,4/10/2020,16:51:17,9.4
1367,4/10/2020,16:51:54,6.8
1367,4/10/2020,16:52:19,8.9
1388,4/10/2020,16:37:24,10.2
1388,4/10/2020,16:38:12,20
1388,4/10/2020,16:38:53,18.5
1388,4/10/2020,16:39:40,13.9
1446,4/10/2020,12:32:08,8.3
1546,4/10/2020,12:32:57,9.1
1546,4/10/2020,12:34:04,14.1
4,4/23/2020,15:50:23,16.2
4,4/23/2020,15:50:52,25.1
4,4/23/2020,15:51:30,32.4
4,4/23/2020,15:51:56,20.7
13,4/23/2020,15:47:22,18.3
13,4/23/2020,15:47:41,26.3
13,4/23/2020,15:48:17,16.7
13,4/23/2020,15:48:59,20.4
34,4/23/2020,15:17:25,23.8
34,4/23/2020,15:17:51,24.6
34,4/23/2020,15:18:33,22.9
37,4/23/2020,15:14:51,28.4
37,4/23/2020,15:14:09,23.9
37,4/23/2020,15:15:53,27.5
92,4/23/2020,15:02:34,27
92,4/23/2020,15:03:00,19.3
92,4/23/2020,15:03:25,26.7
92,4/23/2020,15:04:31,24.6
97,4/23/2020,15:09:19,25.5
97,4/23/2020,15:09:19,26.3
97,4/23/2020,15:10:30,26.4
119,4/23/2020,15:38:39,24
119,4/23/2020,15:38:16,16.7
119,4/23/2020,15:39:04,24.3
119,4/23/2020,15:39:23,21.7
133,4/23/2020,15:41:09,25.6
133,4/23/2020,15:42:37,23.4
133,4/23/2020,15:43:16,21.5
134,4/23/2020,15:45:16,20.8
134,4/23/2020,15:44:49,25.2
134,4/23/2020,15:45:40,21.6
138,4/23/2020,15:55:17,26.7
138,4/23/2020,15:55:46,29.4
138,4/23/2020,15:56:14,25.6
153,4/23/2020,15:34:02,26
153,4/23/2020,15:34:43,27.6
153,4/23/2020,15:35:27,26.7
155,4/23/2020,15:24:11,25.7
155,4/23/2020,15:25:43,24.5
155,4/23/2020,15:26:08,20.2
157,4/23/2020,15:28:04,25
157,4/23/2020,15:27:32,25.3
157,4/23/2020,15:28:32,20.1
166,4/23/2020,14:59:56,32.3
166,4/23/2020,15:00:25,21.6
166,4/23/2020,15:00:51,26.5
190,4/23/2020,14:27:42,25.1
190,4/23/2020,14:28:52,22.2
190,4/23/2020,14:29:10,27.2
203,4/23/2020,15:05:49,22.6
203,4/23/2020,15:06:16,22.4
203,4/23/2020,15:06:40,31.7
203,4/23/2020,15:07:25,31.1
205,4/23/2020,14:53:44,34.1
205,4/23/2020,14:54:32,28.6
205,4/23/2020,14:54:58,26
223,4/23/2020,14:50:27,24
223,4/23/2020,14:50:53,28.8
223,4/23/2020,14:51:25,38.2
223,4/23/2020,14:52:12,27.5
226,4/23/2020,14:47:50,23.3
226,4/23/2020,14:48:11,20.5
226,4/23/2020,14:48:43,15.2
226,4/23/2020,14:49:04,24.3
241,4/23/2020,14:56:28,26.2
241,4/23/2020,14:57:08,16.2
241,4/23/2020,14:57:34,23.7
241,4/23/2020,14:58:13,25.6
244,4/23/2020,14:31:52,25.5
244,4/23/2020,14:32:53,26
244,4/23/2020,14:33:24,22.6
253,4/23/2020,14:43:41,12.7
253,4/23/2020,14:44:20,32
253,4/23/2020,14:44:58,24.3
253,4/23/2020,14:45:43,28.2
257,4/23/2020,14:41:10,27.8
257,4/23/2020,14:41:35,23.4
257,4/23/2020,14:42:02,11.2
257,4/23/2020,14:42:32,21.5
270,4/23/2020,14:34:41,19.9
270,4/23/2020,14:35:11,19.8
270,4/23/2020,14:35:39,24.7
282,4/23/2020,14:18:18,28.3
282,4/23/2020,14:18:52,29.8
282,4/23/2020,14:19:21,31.4
301,4/23/2020,14:25:32,28
301,4/23/2020,14:25:59,24.2
301,4/23/2020,14:26:28,26.5
332,4/23/2020,14:21:39,26.2
332,4/23/2020,14:22:09,23.8
332,4/23/2020,14:22:41,25.4
353,4/23/2020,13:53:30,28
353,4/23/2020,13:58:34,25.4
353,4/23/2020,13:59:56,29.2
371,4/23/2020,14:16:19,27
371,4/23/2020,14:16:58,35.5
371,4/23/2020,14:17:30,28.7
403,4/23/2020,14:01:26,24.2
403,4/23/2020,14:01:49,25.2
403,4/23/2020,14:02:08,24.9
417,4/23/2020,13:35:19,24.6
417,4/23/2020,13:35:53,22.3
417,4/23/2020,13:37:00,21.8
423,4/23/2020,12:35:58,19.5
423,4/23/2020,12:36:17,22
423,4/23/2020,12:36:17,27.9
425,4/23/2020,13:32:19,7.2
425,4/23/2020,13:32:55,33.7
425,4/23/2020,13:33:31,19.1
425,4/23/2020,13:34:10,24.5
431,4/23/2020,13:49:02,16.5
431,4/23/2020,13:49:28,24.4
431,4/23/2020,13:50:02,16.2
434,4/23/2020,12:34:12,24.2
434,4/23/2020,12:34:40,21.8
434,4/23/2020,12:35:11,23.9
463,4/23/2020,13:44:14,21.2
463,4/23/2020,13:45:05,12.4
463,4/23/2020,13:45:35,22.7
463,4/23/2020,13:46:18,19.4
475,4/23/2020,13:39:35,25
475,4/23/2020,13:40:00,21.5
475,4/23/2020,13:40:27,15.1
475,4/23/2020,13:40:58,22.1
493,4/23/2020,12:00:01,7.6
493,4/23/2020,12:00:34,20.3
493,4/23/2020,12:01:22,13
493,4/23/2020,12:02:46,15.8
498,4/23/2020,11:58:00,25.4
498,4/23/2020,11:58:50,20.8
498,4/23/2020,11:58:22,24.2
519,4/23/2020,12:28:51,20.3
519,4/23/2020,12:29:18,18.6
519,4/23/2020,12:29:54,13.6
548,4/23/2020,12:25:06,20
548,4/23/2020,12:26:03,22.1
548,4/23/2020,12:26:55,15.5
565,4/23/2020,12:19:58,15.5
565,4/23/2020,12:20:28,11
565,4/23/2020,12:21:02,16.6
595,4/23/2020,11:51:21,19.4
595,4/23/2020,11:51:44,18.8
595,4/23/2020,11:52:07,27.2
614,4/23/2020,11:56:09,22.6
614,4/23/2020,11:56:25,21.7
614,4/23/2020,11:56:59,25.8
624,4/23/2020,12:07:34,26.5
624,4/23/2020,12:08:05,25.1
624,4/23/2020,12:08:36,16
624,4/23/2020,12:09:42,22.4
633,4/23/2020,12:04:09,13.6
633,4/23/2020,12:05:13,21.7
633,4/23/2020,12:05:37,12.6
633,4/23/2020,12:06:08,22.1
643,4/23/2020,12:15:44,26
643,4/23/2020,12:16:10,23.8
643,4/23/2020,12:16:30,23.2
672,4/23/2020,12:11:38,21
672,4/23/2020,12:12:03,32.5
672,4/23/2020,12:12:41,14.9
672,4/23/2020,12:13:08,22.3
702,4/23/2020,11:54:08,19.2
702,4/23/2020,11:54:56,14.9
702,4/23/2020,11:55:26,20.5
726,4/23/2020,11:49:08,18
726,4/23/2020,11:49:38,22.9
726,4/23/2020,11:50:07,17.8
740,4/23/2020,11:39:03,19.7
740,4/23/2020,11:43:10,19.2
740,4/23/2020,11:43:49,7.9
740,4/23/2020,11:44:17,10.2
764,4/23/2020,11:45:39,13.2
764,4/23/2020,11:46:13,18
764,4/23/2020,11:46:45,14.2
783,4/23/2020,11:21:38,19.7
783,4/23/2020,11:22:01,14.3
783,4/23/2020,11:22:29,27.9
783,4/23/2020,11:23:01,18.9
808,4/23/2020,11:25:57,22.9
808,4/23/2020,11:26:23,20.1
808,4/23/2020,11:30:22,22.6
820,4/23/2020,11:17:42,23.3
820,4/23/2020,11:18:16,22
820,4/23/2020,11:18:41,19.4
839,4/23/2020,11:10:03,12.9
839,4/23/2020,11:10:34,9.5
839,4/23/2020,11:11:09,11.6
845,4/23/2020,11:14:43,20.3
845,4/23/2020,11:15:12,23
845,4/23/2020,11:15:45,24.5
857,4/23/2020,11:32:36,22.2
857,4/23/2020,11:32:58,24.4
857,4/23/2020,11:33:47,12.5
857,4/23/2020,11:34:17,16.4
860,4/23/2020,11:12:43,9.3
860,4/23/2020,11:13:01,16.7
860,4/23/2020,11:13:23,12.3
870,4/23/2020,10:54:29,15.7
870,4/23/2020,10:54:49,24.1
870,4/23/2020,10:55:08,30
870,4/23/2020,10:55:36,20.2
875,4/23/2020,10:45:11,15.4
875,4/23/2020,10:47:29,8.8
875,4/23/2020,10:48:07,23
875,4/23/2020,10:49:33,18.3
878,4/23/2020,11:00:48,25.6
878,4/23/2020,11:01:07,24.9
878,4/23/2020,11:01:56,17.3
883,4/23/2020,10:50:13,26.6
883,4/23/2020,10:50:34,30.7
883,4/23/2020,10:51:37,31.3
905,4/23/2020,11:05:05,10.1
905,4/23/2020,11:05:32,15.9
905,4/23/2020,11:05:54,16.5
918,4/23/2020,10:57:39,27.9
918,4/23/2020,10:57:56,23.9
918,4/23/2020,10:58:35,27
954,4/23/2020,10:41:29,24.2
954,4/23/2020,10:42:11,19.7
954,4/23/2020,10:42:35,25.8
971,4/23/2020,10:32:15,13.2
971,4/23/2020,10:33:44,16.6
971,4/23/2020,10:34:29,10
979,4/23/2020,10:39:15,11.5
979,4/23/2020,10:39:38,13
979,4/23/2020,10:39:58,5.9
990,4/23/2020,10:35:44,10.9
990,4/23/2020,10:36:11,15.6
990,4/23/2020,10:37:37,21.2
990,4/23/2020,10:38:06,21.2
1015,4/24/2020,12:54:13,32.3
1015,4/24/2020,12:54:36,34
1015,4/24/2020,12:55:00,21
1015,4/24/2020,12:55:44,30.8
1026,4/24/2020,12:51:39,31.7
1026,4/24/2020,12:52:27,35.8
1026,4/24/2020,12:52:53,28.1
1033,4/24/2020,10:23:36,28.7
1033,4/24/2020,10:24:21,25.1
1033,4/24/2020,10:24:56,36.2
1033,4/24/2020,10:25:35,25
1040,4/24/2020,10:21:03,29.8
1040,4/24/2020,10:21:30,35.4
1040,4/24/2020,10:22:02,30.8
1064,4/24/2020,10:30:17,23.4
1064,4/24/2020,10:30:56,32.7
1064,4/24/2020,10:31:51,23
1064,4/24/2020,10:32:25,29.6
1087,4/24/2020,10:41:38,25.1
1087,4/24/2020,10:40:54,32.7
1087,4/24/2020,10:42:02,17.6
1087,4/24/2020,10:42:38,30.1
1096,4/24/2020,10:34:12,29
1096,4/24/2020,10:34:40,27.4
1096,4/24/2020,10:35:55,23.4
1110,4/24/2020,12:59:34,29.9
1110,4/24/2020,12:59:56,29.1
1110,4/24/2020,13:00:23,28
1113,4/24/2020,13:02:19,34.7
1113,4/24/2020,13:02:46,28.3
1113,4/24/2020,13:03:15,26.5
1124,4/24/2020,11:57:35,25.5
1124,4/24/2020,11:58:19,34.2
1124,4/24/2020,11:59:04,29.1
1130,4/24/2020,12:04:32,36.3
1130,4/24/2020,12:05:20,35.1
1130,4/24/2020,12:05:49,25.1
1130,4/24/2020,12:06:24,31.5
1131,4/24/2020,12:02:22,37.9
1131,4/24/2020,12:03:01,29.5
1131,4/24/2020,12:03:27,37.5
1132,4/24/2020,12:07:39,39.1
1132,4/24/2020,12:08:10,34.3
1132,4/24/2020,12:08:42,29.6
1140,4/24/2020,11:21:40,14.6
1140,4/24/2020,11:22:08,22.7
1140,4/24/2020,11:22:41,26.1
1140,4/24/2020,11:23:10,28.5
1155,4/24/2020,11:25:10,19.4
1155,4/24/2020,11:25:52,22.3
1155,4/24/2020,11:26:22,22.9
1161,4/24/2020,13:21:55,19.1
1161,4/24/2020,13:22:18,27.2
1161,4/24/2020,13:22:45,24.3
1164,4/24/2020,11:18:54,24.7
1164,4/24/2020,11:19:27,24.6
1164,4/24/2020,11:19:52,27.5
1167,4/24/2020,11:29:46,26.4
1167,4/24/2020,11:30:39,17.7
1167,4/24/2020,11:30:39,17.4
1177,4/24/2020,11:14:02,20.8
1177,4/24/2020,11:14:52,14.7
1177,4/24/2020,11:15:58,26.4
1177,4/24/2020,11:16:25,22.1
1182,4/24/2020,10:56:14,29.3
1182,4/24/2020,10:57:02,21.8
1182,4/24/2020,10:57:34,31.7
1188,4/24/2020,13:24:18,26.8
1188,4/24/2020,13:24:46,29.5
1188,4/24/2020,13:25:11,23.6
1190,4/24/2020,11:09:32,23.6
1190,4/24/2020,11:10:58,21.6
1190,4/24/2020,11:11:27,21.7
1195,4/24/2020,11:06:39,23.8
1195,4/24/2020,11:07:06,22.6
1195,4/24/2020,11:07:48,24.5
1219,4/24/2020,13:44:00,18
1219,4/24/2020,13:44:52,23.2
1219,4/24/2020,13:45:37,13.8
1232,4/24/2020,11:01:35,15.6
1232,4/24/2020,11:01:01,24.3
1232,4/24/2020,11:02:01,24.7
1234,4/24/2020,10:37:31,18
1234,4/24/2020,10:38:01,20.8
1234,4/24/2020,10:38:59,25.6
1242,4/24/2020,10:44:57,31.9
1242,4/24/2020,10:46:21,32.2
1242,4/24/2020,10:45:36,29.9
1257,4/24/2020,10:17:56,23.7
1257,4/24/2020,10:18:44,21.6
1257,4/24/2020,10:19:09,24.4
1265,4/24/2020,12:57:04,21.7
1265,4/24/2020,12:57:34,20.6
1265,4/24/2020,12:58:18,26
1280,4/23/2020,14:04:18,24.3
1280,4/23/2020,14:04:53,18.4
1280,4/23/2020,14:05:26,24.3
1297,4/23/2020,14:07:17,25.5
1297,4/23/2020,14:07:40,25.5
1297,4/23/2020,14:08:45,19.1
1309,4/24/2020,13:08:44,22.3
1309,4/24/2020,13:09:09,32.7
1309,4/24/2020,13:09:47,23.9
1309,4/24/2020,13:10:25,25.5
1313,4/24/2020,13:06:09,31.7
1313,4/24/2020,13:06:38,23
1313,4/24/2020,13:07:13,30
1327,4/24/2020,11:46:03,27
1327,4/24/2020,11:47:01,33.6
1327,4/24/2020,11:48:11,34.7
1346,4/24/2020,11:50:18,34.2
1346,4/24/2020,11:50:51,28.7
1346,4/24/2020,11:51:24,32.8
1349,4/24/2020,11:38:49,29.3
1349,4/24/2020,11:39:44,24.8
1349,4/24/2020,11:40:09,20.5
1353,4/24/2020,13:15:19,16.1
1353,4/24/2020,13:15:38,29.7
1353,4/24/2020,13:16:10,22.7
1353,4/24/2020,13:16:37,21.5
