OID,Plot_Number, Date, Time, Moisture %
74,282,4/10/2020,11:48:49,16.7
75,301,4/10/2020,11:56:19,5
76,301,4/10/2020,11:56:51,12.8
77,301,4/10/2020,11:57:22,5.8
78,301,4/10/2020,11:58:04,13.4
79,332,4/10/2020,12:00:30,14.8
80,332,4/10/2020,12:01:04,12.7
81,332,4/10/2020,12:01:44,13.5
82,353,4/10/2020,12:03:02,14.9
83,353,4/10/2020,12:03:43,11.7
84,353,4/10/2020,12:04:25,19.2
85,353,4/10/2020,12:05:07,11.5
86,403,4/10/2020,12:06:34,10.3
87,403,4/10/2020,12:07:08,7.6
88,403,4/10/2020,12:07:37,14.6
89,417,4/10/2020,12:24:18,15.7
90,417,4/10/2020,12:24:56,8
91,417,4/10/2020,12:25:26,13.4
92,423,4/10/2020,12:26:52,10.8
93,423,4/10/2020,12:27:40,7.9
94,423,4/10/2020,12:28:11,15.2
95,425,4/10/2020,12:35:11,9.1
96,425,4/10/2020,12:36:00,18.3
97,425,4/10/2020,12:37:33,14.3
98,425,4/10/2020,12:38:50,16.7
99,431,4/10/2020,12:53:54,15
100,431,4/10/2020,12:54:38,10.1
101,431,4/10/2020,12:55:30,14.8
102,434,4/10/2020,12:28:58,8.4
103,434,4/10/2020,12:29:26,5.4
104,434,4/10/2020,12:30:06,13.1
105,434,4/10/2020,12:30:45,8.6
106,463,4/10/2020,12:58:33,8
107,463,4/10/2020,12:59:11,8.2
108,463,4/10/2020,12:59:37,8.7
109,475,4/10/2020,12:49:16,12
110,475,4/10/2020,12:50:22,7.9
111,475,4/10/2020,12:51:05,16
112,475,4/10/2020,12:51:41,10.9
113,493,4/10/2020,13:02:26,7.6
114,493,4/10/2020,13:03:23,10.2
115,493,4/10/2020,13:04:02,9.6
116,498,4/10/2020,13:05:30,12.2
117,498,4/10/2020,13:06:54,10.4
118,498,4/10/2020,13:07:30,8.4
119,519,4/10/2020,12:45:02,12.5
120,519,4/10/2020,12:46:00,11
121,519,4/10/2020,12:46:37,10.2
122,548,4/10/2020,13:53:26,17.3
123,548,4/10/2020,13:54:04,9.3
124,548,4/10/2020,13:54:43,13.5
125,565,4/10/2020,13:56:32,9.4
