date,plot,m1,m2,m3,m4,average,alive (yes or no),notes
4/23,4,16.2,25.1,32.4,20.7,23.6,y,
,13,18.3,26.3,16.7,20.4,20.425,y,
,34,23.8,24.6,22.4,,23.6,y,
,37,23.9,28.4,27.5,,26.6,y,
,92,27,19.3,26.7,24.6,24.4,y,
,97,25.5,26.3,26.4,,26.06666667,y,m1 not saved
,119,16.7,24,24.3,21.7,21.675,y,
,133,25.6,23.4,21.5,,23.5,y,
,134,25.2,20.8,21.6,,22.53333333,y,
,138,26.7,29.9,25.6,,27.4,n,
,153,26,27.6,26.7,,26.76666667,y,
,155,25.7,24.5,20.2,,23.46666667,y,
,157,25.3,25,20.1,,23.46666667,n,
,166,32.3,21.6,26.5,,26.8,y,
,190,25.1,22.2,27.2,,24.83333333,y,
,203,22.6,22.4,31.7,31.1,26.95,y,
,205,34.1,28.6,26,,29.56666667,y,
,223,24,28.8,38.2,27.5,29.625,y,
,226,23.3,20.5,15.2,24.3,20.825,y,
,241,26.2,16.2,23.7,25.6,22.925,y,
,244,25.5,26,22.6,,24.7,y,
,253,12.7,32,24.3,28.3,24.325,n,
,257,27.8,23.4,11.2,21.5,20.975,y,
,270,19.9,19.8,24.7,,21.46666667,y,
,282,28.3,29.8,31.4,,29.83333333,y,
,301,28,24.2,26.5,,26.23333333,y,
,332,26.2,23.8,25.4,,25.13333333,y,
,353,28,25.4,29.2,,27.53333333,y,
,371,27,35.5,28.7,,30.4,y,
,403,24.2,25.2,24.9,,24.76666667,y,
,417,24.6,22.3,21.8,,22.9,y,
,423,19.5,22,27.9,,23.13333333,y,
,425,7.2,33.7,19.1,24.5,21.125,y,
,431,16.5,24.4,16.2,,19.03333333,y,
,434,24.2,21,23.9,,23.03333333,n,
,463,21.2,12.4,22.7,19.4,18.925,y,
,475,25,21.5,15.1,22.1,20.925,y,
,493,7.6,20.3,13,15.8,14.175,y,
,498,25.4,24.2,20.8,,23.46666667,y,
,519,20.3,18.6,13.6,,17.5,y,
,548,20,22.1,15.5,,19.2,y,
,565,15.5,11,16.6,,14.36666667,y,
,595,19.4,18.8,27.2,,21.8,y,
,614,22.6,21.7,25.8,,23.36666667,y,
,624,26.5,25.1,16,22.4,22.5,y,
,633,13.6,21.7,12.6,22.1,17.5,y,
,643,26,23.8,23.2,,24.33333333,n,
,672,21,32.5,14.9,22.3,22.675,y,
,702,19.2,14.9,20.5,,18.2,y,
,726,18,22.9,17.8,,19.56666667,y,
